pdf_hash;unit_id;host_unit;host_age;host_age_method;host_age_reliability;target_name;target_role;evidence_pages
380F1D68;2;DIO;NPT;UNK;ERA;Main Showing;MAIN;52|57
380F1D68;3;MSD;NPT;UNK;ERA;Main Showing;MAIN;52|57
380F1D68;4;MVL;NPT;UNK;ERA;Main Showing;MAIN;52|57
380F1D68;5;GNS;NPT;UNK;ERA;Main Showing;MAIN;52|57
402B13C7;1;SND;HRHY;DZIRC;STA;Esaase;MAIN;75|79|82|84
402B13C7;2;SLT;HRHY;DZIRC;STA;Esaase;MAIN;75|79|82|84
402B13C7;3;SHA;HRHY;DZIRC;STA;Esaase;MAIN;75|79|82
402B13C7;4;GRW;HRHY;DZIRC;STA;Esaase;MAIN;75|82|84
402B13C7;5;MUD;HRHY;DZIRC;STA;Esaase;MAIN;75|82|84|85
4A526D0C;1;GDP;HEDI;RBSR;INF;Sukari;MAIN;40|43|52
4A526D0C;2;GDP;HEDI;SMND;INF;Sukari;MAIN;52
4A526D0C;3;PDK;HEDI;UNK;STA;Sukari;MAIN;41|43
51D252D0;1;DPO;HNEO;KAR;INF;Tres Cruces;MAIN;42|43|45|47|51
51D252D0;2;AND;HPGE;KAR;INF;Tres Cruces;MAIN;39|42|45|47|51
51D252D0;3;RHY;HUNK;UNK;N/A;Tres Cruces;MAIN;39|42|43|45|47|51
51D252D0;4;DAC;HUNK;UNK;N/A;Tres Cruces;MAIN;42|45|46|51
51D252D0;5;VBX;HUNK;UNK;N/A;Tres Cruces;MAIN;39|45|47
51D252D0;6;HBX;HUNK;UNK;N/A;Tres Cruces;MAIN;43|46|47|49
51D252D0;7;TUF;HUNK;UNK;N/A;Tres Cruces;MAIN;39|42|45|47|49|51
5BC3C16A;1;AMP;ARC;UNK;ERA;Vumba Project;MAIN;34|36
5BC3C16A;2;QTZ;HUNK;UNK;N/A;Vumba Project;MAIN;32|34
68234CED;1;SND;HTRI;UNK;STA;Jinfeng;MAIN;35|38|39|43
68234CED;2;MUD;HTRI;UNK;STA;Jinfeng;MAIN;35|38|39
68234CED;3;SLT;HTRI;UNK;STA;Jinfeng;MAIN;35|39
68234CED;4;TRB;HTRI;UNK;STA;Jinfeng;MAIN;35|39
68234CED;5;LST;HTRI;UNK;STA;Jinfeng;MAIN;35|38
6FD50918;1;LST;HCAR;UNK;STA;EZ Junior;MAIN;75|79
6FD50918;2;SHA;HCAR;UNK;STA;EZ Junior;MAIN;75|76|79
6FD50918;3;SHA;HUNK;UNK;N/A;EZ Junior;MAIN;75|79
780353ED;1;HBX;HMEA;UNK;STA;Rebel Gold Deposit;MAIN;30|32|33|36
780353ED;2;FLS;HUNK;UNK;N/A;Rebel Gold Deposit;MAIN;34
7E18DD11;1;BAS;HORD;UNK;STA;Hammerdown;MAIN;56|58
7E18DD11;2;RHY;HORD;UNK;STA;Hammerdown;MAIN;56|58
7E18DD11;3;PDK;HSIL;UNK;STA;Hammerdown;MAIN;56|59
7E18DD11;4;MSD;HORD;UNK;STA;Hammerdown;MAIN;58
7E18DD11;5;CHT;HORD;UNK;STA;Hammerdown;MAIN;58
841D480D;1;BAS;ARC;UNK;ERA;Lingman Lake Gold Mine;MAIN;71|72|89
841D480D;2;FPO;ARC;UNK;ERA;Lingman Lake Gold Mine;MAIN;71|72|73|89
841D480D;3;QFP;ARC;UNK;ERA;Lingman Lake Gold Mine;MAIN;71|72|73|89
841D480D;4;SHZ;ARC;UNK;ERA;Lingman Lake Gold Mine;MAIN;71|72|89
8BABD205;1;UMF;HNEA;UNK;STA;903 Zone;MAIN;58|67|68
8BABD205;2;GRN;HNEA;UNK;STA;903 Zone;MAIN;58|67|68
8BABD205;3;SYE;HNEA;UNK;STA;903 Zone;MAIN;67|68|69
93FA687C;1;BIF;HNEA;UNK;STA;Umwelt;MAIN;91|108|111
93FA687C;2;GRW;HNEA;DZIRC;STA;Umwelt;MAIN;91|111|162
93FA687C;3;MUD;HNEA;DZIRC;STA;Umwelt;MAIN;91|111|162
93FA687C;4;PDK;HNEA;UPBTIMS;INF;Umwelt;MAIN;95|109|111|162
9D1B5C40;1;LST;HCAR;UNK;STA;Gold Rock Deposit;MAIN;48|52
9D1B5C40;2;SHA;HCAR;UNK;STA;Gold Rock Deposit;MAIN;48|52
9D1B5C40;3;SHA;HUNK;UNK;N/A;Gold Rock Deposit;MAIN;48|52
A6A47485;1;GRD;HRHY;UNK;STA;Kibi Gold Project;MAIN;38|40|44|45|54
A6A47485;2;QDI;HRHY;UNK;STA;Kibi Gold Project;MAIN;38|40|44|45|54
A6A47485;3;TON;HRHY;UNK;STA;Kibi Gold Project;MAIN;38|40|45
A6A47485;4;GRW;PPT;UNK;ERA;Kibi Gold Project;MAIN;36|40
A6A47485;5;PHL;PPT;UNK;ERA;Kibi Gold Project;MAIN;36|40
A6A47485;6;SLT;PPT;UNK;ERA;Kibi Gold Project;MAIN;36|40
AE63D9BE;1;BIF;ARC;UNK;ERA;Roça Grande;MAIN;50|52|53|61
AE63D9BE;2;SCH;ARC;UNK;ERA;Roça Grande;MAIN;50|52|53|61
AE63D9BE;3;CHT;ARC;UNK;ERA;Roça Grande;MAIN;50|52|53
AE63D9BE;4;SCH;ARC;UNK;ERA;Roça Grande;MAIN;50|52|53
AE63D9BE;5;PHL;ARC;UNK;ERA;Roça Grande;MAIN;50|52|53
AE63D9BE;6;QTZ;HUNK;UNK;N/A;Roça Grande;MAIN;53|61
B433B884;1;BIF;ARC;UNK;ERA;Adumbi;MAIN;54|62|66|72
B433B884;2;QZT;ARC;UNK;ERA;Adumbi;MAIN;54|66
B433B884;3;SCH;ARC;UNK;ERA;Adumbi;MAIN;54|66|73
BD896B47;1;GNS;HUNK;UNK;N/A;VG Deposit;MAIN;42|46
BD896B47;2;SCH;HUNK;UNK;N/A;VG Deposit;MAIN;42
C3803153;1;GRA;HUNK;UNK;N/A;San Francisco;MAIN;61|68
C3803153;2;GNS;PCB;UNK;ERA;San Francisco;MAIN;60|61|65|68
C3803153;3;SCH;PCB;UNK;ERA;San Francisco;MAIN;60|61|68
CCDD8792;1;LST;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131
CCDD8792;2;VCL;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131
CCDD8792;3;SLT;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131
CCDD8792;4;CSS;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131
CCDD8792;5;SND;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131|132
CCDD8792;6;CON;HUNK;UNK;N/A;Cariboo Gold Project;MAIN;121|131
D347FEC7;1;SCH;HORO;UNK;STA;Copeçal;MAIN;72|84|107
D347FEC7;2;GRA;HSTA;UNK;STA;Copeçal;MAIN;62|72|74|84|107
D347FEC7;3;GRD;HSTA;UNK;STA;Copeçal;MAIN;59|72
D347FEC7;4;MON;HSTA;UNK;STA;Copeçal;MAIN;59|72
D347FEC7;5;TON;HSTA;UNK;STA;Copeçal;MAIN;62|72|73
DAE236F6;1;AMP;PPT;UNK;ERA;Natougou;MAIN;59|61
DAE236F6;2;VCL;PPT;UNK;ERA;Natougou;MAIN;59|61|67
DAE236F6;3;VBX;PPT;UNK;ERA;Natougou;MAIN;59|61|67
DAE236F6;4;BAS;PPT;UNK;ERA;Natougou;MAIN;59|66|67
DAE236F6;5;SHZ;PPT;UNK;ERA;Natougou;MAIN;59|67|80
E1585FA5;1;SCH;ARC;UNK;ERA;Turmalina Mine;MAIN;45|48
E1585FA5;2;BIF;ARC;UNK;ERA;Turmalina Mine;MAIN;45|48
E9B4DA19;1;ARGL;HUNK;UNK;N/A;Touquoy;MAIN;29|30|31|32|34
E9B4DA19;2;GRW;HUNK;UNK;N/A;Touquoy;MAIN;29|30|34
F07F0539;1;LST;HDEV;UNK;STA;Betze-Post;MAIN;50|54|58
F07F0539;2;MUD;HDEV;UNK;STA;Betze-Post;MAIN;50
F07F0539;3;SBX;HDEV;UNK;STA;Betze-Post;MAIN;50|54
F07F0539;4;SLT;HDEV;UNK;STA;Betze-Post;MAIN;50
F07F0539;5;ARGL;HDEV;UNK;STA;Betze-Post;MAIN;50
F07F0539;6;LST;HUNK;UNK;N/A;Betze-Post;MAIN;50
F07F0539;7;SBX;HUNK;UNK;N/A;Betze-Post;MAIN;50
F07F0539;8;SLT;HORD;UNK;STA;Betze-Post;MAIN;50
F07F0539;9;MUD;HORD;UNK;STA;Betze-Post;MAIN;50
F07F0539;10;CHT;HORD;UNK;STA;Betze-Post;MAIN;50
F07F0539;11;MBL;HUNK;UNK;N/A;Betze-Post;MAIN;58
F07F0539;12;SKR;HUNK;UNK;N/A;Betze-Post;MAIN;58
FE225BC3;1;GRA;HSTA;UNK;STA;Copeçal;MAIN;51|52|58
FE225BC3;2;MIG;HORO;UNK;STA;Copeçal;MAIN;51|58
FE225BC3;3;SCH;HORO;UNK;STA;Copeçal;MAIN;51|56|58
FE225BC3;4;TON;HSTA;UNK;STA;Copeçal;MAIN;51|52
834A4A8A;1;MCG;PPT;UNK;ERA;Samira;MAIN;16|17
834A4A8A;2;GRW;PPT;UNK;ERA;Samira;MAIN;16|17
834A4A8A;3;MSD;PPT;UNK;ERA;Samira;MAIN;16|17
834A4A8A;4;ARGL;PPT;UNK;ERA;Samira;MAIN;16|17
834A4A8A;5;SCH;PPT;UNK;ERA;Samira;MAIN;16
834A4A8A;6;MVL;PPT;UNK;ERA;Samira;MAIN;15
0F38B052;1;GRN;PPT;UNK;ERA;Agbaou;MAIN;25|27
0F38B052;2;MSD;PPT;UNK;ERA;Agbaou;MAIN;27
0F38B052;3;LAR;HQUA;UNK;N/A;Agbaou;MAIN;27
20818BCD;1;SND;HTRI;UNK;STA;Elvenei;MAIN;23|26|27
20818BCD;2;SLT;HTRI;UNK;STA;Elvenei;MAIN;23|26
20818BCD;3;HRN;HTRI;UNK;STA;Elvenei;MAIN;25|27
2E40B925;1;PDK;HUNK;UNK;N/A;Sorowar;MAIN;35
2E40B925;2;TUF;HUNK;UNK;N/A;Sorowar;MAIN;35
2E40B925;3;VBX;HUNK;UNK;N/A;Sorowar;MAIN;35
4001F43E;1;BAS;HRHY;UNK;STA;Bissa;MAIN;32|41
4001F43E;2;SCH;HRHY;UNK;STA;Bissa;MAIN;32|41
4001F43E;3;SND;HRHY;UNK;STA;Bissa;MAIN;32|41
4001F43E;4;ARGL;HRHY;UNK;STA;Bissa;MAIN;32|41
4001F43E;5;CON;HRHY;UNK;STA;Bissa;MAIN;32|41
4001F43E;6;HBX;HRHY;UNK;STA;Bissa;MAIN;32|41
55429E2C;1;AND;HORO;UPBZ;INF;Bingo;MAIN;23|41|44
55429E2C;2;DIO;HORO;UPBZ;INF;Bingo;MAIN;23|41|44
664AF00F;1;TUF;HNEA;UNK;STA;Island Gold Zone;MAIN;47|54
664AF00F;2;VBX;HNEA;UNK;STA;Island Gold Zone;MAIN;47|54
664AF00F;3;FPO;HNEA;UNK;STA;Island Gold Zone;MAIN;47|51
772AF4A8;1;DAC;HUNK;UNK;N/A;Uzboy;MAIN;20|24|27
772AF4A8;2;AND;HUNK;UNK;N/A;Uzboy;MAIN;20|24|30
772AF4A8;3;TUF;HUNK;UNK;N/A;Uzboy;MAIN;20|24
772AF4A8;4;SHZ;HUNK;UNK;N/A;Uzboy;MAIN;20
772AF4A8;5;RDC;HUNK;UNK;N/A;Uzboy;MAIN;23|24|27
772AF4A8;6;SND;HUNK;UNK;N/A;Uzboy;MAIN;24
772AF4A8;7;SLT;HUNK;UNK;N/A;Uzboy;MAIN;24
8E2502C1;1;QZT;HRHY;UNK;STA;Marudi Property;MAIN;19|21|28
8E2502C1;2;BIF;HRHY;UNK;STA;Marudi Property;MAIN;19|21|28
8E2502C1;3;AND;HRHY;UNK;STA;Marudi Property;MAIN;19|21|24
8E2502C1;4;IBX;HUNK;UNK;N/A;Marudi Property;MAIN;28
9D87D5E4;1;DOL;HUNK;UNK;N/A;Redrock;MAIN;48|60
9D87D5E4;2;LST;HUNK;UNK;N/A;Redrock;MAIN;48|60
9D87D5E4;3;SLT;HUNK;UNK;N/A;Redrock;MAIN;48|60
9D87D5E4;4;SND;HUNK;UNK;N/A;Redrock;MAIN;51|61
9D87D5E4;5;SLT;HUNK;UNK;N/A;Redrock;MAIN;51|61
9D87D5E4;6;TUF;HPGE;UNK;STA;Redrock;MAIN;52|61
ACECE34B;1;GRD;ARC;UNK;ERA;Stephen Lake Stock;MAIN;26|27|33
C1C45B8C;1;GRW;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|47
C1C45B8C;2;MUD;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|47
C1C45B8C;3;BIF;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|46|47
C1C45B8C;4;SLT;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|46
C1C45B8C;5;ARGL;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|47
C1C45B8C;6;BAS;HNEA;UNK;STA;Tiriganiaq;MAIN;27|32|47
D9B74825;1;GAB;HUNK;UNK;N/A;Yellowjacket Zone;MAIN;24|26|33
D9B74825;2;DIA;HUNK;UNK;N/A;Yellowjacket Zone;MAIN;24|26|33
D9B74825;3;BAS;HUNK;UNK;N/A;Yellowjacket Zone;MAIN;24|33
D9B74825;4;AND;HUNK;UNK;N/A;Yellowjacket Zone;MAIN;24|27|33
D9B74825;5;UMF;HUNK;UNK;N/A;Yellowjacket Zone;MAIN;23|24|25
E8AE8CD8;1;BAS;HRHY;UNK;STA;Jean-Gobelé;MAIN;23|25
E8AE8CD8;2;TUF;HRHY;UNK;STA;Jean-Gobelé;MAIN;23|25
F6ECFE72;1;BIF;HSTA;UNK;STA;Tucano;MAIN;71|74|77|83
F6ECFE72;3;CSL;HSTA;UNK;STA;Tucano;MAIN;71|74
F6ECFE72;4;AMP;HSTA;UNK;STA;Tucano;MAIN;71|74|83
F6ECFE72;5;SCH;HSTA;UNK;STA;Tucano;MAIN;71|74|77|83
633DD464;1;PHL;HRHY;UNK;STA;Esaase Gold Deposit;MAIN;31|32
633DD464;2;SLT;HRHY;UNK;STA;Esaase Gold Deposit;MAIN;31|32
633DD464;3;SND;HRHY;UNK;STA;Esaase Gold Deposit;MAIN;31|32
633DD464;4;GRW;HRHY;UNK;STA;Esaase Gold Deposit;MAIN;31|32
633DD464;5;TON;HUNK;UNK;N/A;Esaase Gold Deposit;MAIN;34
633DD464;6;GRD;HUNK;UNK;N/A;Esaase Gold Deposit;MAIN;34
56C9C0D0;1;SLT;HORD;UPB;INF;Canoe Landing Lake;MAIN;32|33|35
56C9C0D0;2;MUD;HORD;UPB;INF;Canoe Landing Lake;MAIN;32|33|35
56C9C0D0;3;SHA;HORD;UPB;INF;Canoe Landing Lake;MAIN;32|33|35
56C9C0D0;4;GRW;HORD;UPB;INF;Canoe Landing Lake;MAIN;32|33|35
C84466C0;1;SLA;HCAM;BIO;STA;Sangdong;MAIN;49|52
C84466C0;2;SKR;HCAM;BIO;STA;Sangdong;MAIN;49|52
C84466C0;3;GRA;HCRE;UNK;STA;Sangdong;MAIN;48|52|53
C84466C0;4;QFP;HCRE;UNK;STA;Sangdong;MAIN;52
DCEA8E11;1;SCH;ARC;UNK;ERA;Parbec deposit;MAIN;29|32
DCEA8E11;2;DIO;HNEA;UNK;STA;Parbec deposit;MAIN;26|29|32
DCEA8E11;3;PDK;HNEA;UNK;STA;Parbec deposit;MAIN;26|29|32
DCEA8E11;4;AND;HNEA;UNK;STA;Parbec deposit;MAIN;28|29|33
DCEA8E11;5;GRW;ARC;UNK;ERA;Parbec deposit;MAIN;28|30
DCEA8E11;6;FLS;ARC;UNK;ERA;Parbec deposit;MAIN;26|33|39
DCEA8E11;7;TUF;HNEA;UNK;STA;Parbec deposit;MAIN;26|28|39
DCEA8E11;8;UMF;HNEA;UNK;STA;Parbec deposit;MAIN;26|28|39
FCA2A22A;1;SND;HNEO;UNK;STA;Stratiform Manganese Deposits;MAIN;60|61
FCA2A22A;2;SLT;HNEO;UNK;STA;Stratiform Manganese Deposits;MAIN;60|61
7C209994;1;DOL;HTRI;UNK;STA;Rupice;MAIN;56|64|67
7C209994;2;SBX;HTRI;UNK;STA;Rupice;MAIN;59|64|67
7C209994;3;MRL;HTRI;UNK;STA;Rupice;MAIN;56|59|64|67
7C209994;4;SND;HTRI;UNK;STA;Rupice;MAIN;56
7C209994;5;LST;HTRI;UNK;STA;Rupice;MAIN;56
7C209994;6;MUD;HTRI;UNK;STA;Rupice;MAIN;56
7C209994;7;SLT;HTRI;UNK;STA;Rupice;MAIN;56
070004F2;1;DPO;HCRE;UNK;STA;Chelopech;MAIN;51
070004F2;2;HBX;HCRE;UNK;STA;Chelopech;MAIN;51|58
070004F2;3;TUF;HCRE;UNK;STA;Chelopech;MAIN;51|55
87133BE3;1;UMF;ARC;UNK;ERA;New Liberty;MAIN;61|70|71|72
87133BE3;2;SCH;ARC;UNK;ERA;New Liberty;MAIN;61|65|72
87133BE3;3;GRA;ARC;UNK;ERA;New Liberty;MAIN;63|70|71
87133BE3;4;PEG;ARC;UNK;ERA;New Liberty;MAIN;63
87133BE3;5;APL;ARC;UNK;ERA;New Liberty;MAIN;63
B97652A4;1;AND;HNEA;UNK;STA;Island Gold;MAIN;72|73|74
B97652A4;2;GRA;HNEA;UNK;STA;Island Gold;MAIN;72|73|74
B97652A4;3;DAC;HNEA;UNK;STA;Island Gold;MAIN;72|73
B97652A4;4;TUF;HNEA;UNK;STA;Island Gold;MAIN;72|73|79
B97652A4;5;DIO;HNEA;UNK;STA;Island Gold;MAIN;72|79
B97652A4;6;LPT;HNEA;UNK;STA;Island Gold;MAIN;72|79
B97652A4;7;QDI;HNEA;UNK;STA;Island Gold;MAIN;72|78
C536FA47;1;RHY;HRHY;UPBZ;INF;Antenna;MAIN;61|63
C536FA47;2;UMF;HUNK;UNK;N/A;Antenna;MAIN;62
C536FA47;3;VCL;HUNK;UNK;N/A;Antenna;MAIN;62
C536FA47;4;BAS;HUNK;UNK;N/A;Antenna;MAIN;62
0E07E1B2;1;SND;HCRE;UNK;STA;Bigar Hill;MAIN;51|52|56
0E07E1B2;2;CON;HCRE;UNK;STA;Bigar Hill;MAIN;51|52|56
0E07E1B2;3;LBX;HCRE;UNK;STA;Bigar Hill;MAIN;52|56
0E07E1B2;4;LST;HCRE;UNK;STA;Bigar Hill;MAIN;50|56
0E07E1B2;5;AND;HCRE;UNK;STA;Bigar Hill;MAIN;56
37CEB943;1;AND;HUNK;UNK;N/A;Avino Vein;MAIN;51
37CEB943;2;MON;HUNK;UNK;N/A;Avino Vein;MAIN;51
D08CA9F8;1;QZT;HUNK;UNK;N/A;Illinois Creek deposit;MAIN;43|44|49|50|52
D08CA9F8;2;PHL;HUNK;UNK;N/A;Illinois Creek deposit;MAIN;52
56CB96EA;1;VBX;HQUA;UNK;STA;Lihir;MAIN;66|70|72
56CB96EA;2;SND;HQUA;UNK;STA;Lihir;MAIN;66|70|72
56CB96EA;3;AND;HQUA;UNK;STA;Lihir;MAIN;66|70|72
56CB96EA;4;BAS;HQUA;UNK;STA;Lihir;MAIN;66|70|72
56CB96EA;5;MUD;HQUA;UNK;STA;Lihir;MAIN;66|70|72
56CB96EA;6;TUF;HQUA;UNK;STA;Lihir;MAIN;66|72
56CB96EA;7;MON;HQUA;UNK;STA;Lihir;MAIN;66|72
56CB96EA;8;DIO;HQUA;UNK;STA;Lihir;MAIN;66|72
56CB96EA;9;HBX;HQUA;UNK;STA;Lihir;MAIN;66|72
56CB96EA;10;PDK;HQUA;UNK;STA;Lihir;MAIN;66|72
0BE662C0;1;LAR;HUNK;UNK;N/A;Agata Nickel Laterite Project (ANLP);MAIN;38
0BE662C0;2;SAP;HUNK;UNK;N/A;Agata Nickel Laterite Project (ANLP);MAIN;38
0BE662C0;3;UMF;HCRE;LCORR;STA;Agata Nickel Laterite Project (ANLP);MAIN;36|38
0BE662C0;4;SRP;HCRE;LCORR;STA;Agata Nickel Laterite Project (ANLP);MAIN;36|38
411C394B;1;BIF;HNEA;UNK;STA;Adumbi;MAIN;85|89|91|96
411C394B;2;SCH;HNEA;UNK;STA;Adumbi;MAIN;85|89|91|92
411C394B;3;CBS;HNEA;UNK;STA;Adumbi;MAIN;85|89|91
411C394B;4;GRW;HNEA;UNK;STA;Adumbi;MAIN;85|89
B19547C4;1;BAS;HMEA;UNK;STA;Rowan Vein System;MAIN;54|60
B19547C4;2;AND;HMEA;UNK;STA;Rowan Vein System;MAIN;54|60
C2786F94;1;QZT;HRHY;UNK;STA;Yalea;MAIN;68|71
C2786F94;2;GRW;HRHY;UNK;STA;Yalea;MAIN;68|71
C2786F94;3;LST;HRHY;UNK;STA;Yalea;MAIN;68|71
C2786F94;4;PHL;HRHY;UNK;STA;Yalea;MAIN;68|71
C2786F94;5;HBX;HRHY;UNK;STA;Yalea;MAIN;68|71
C2786F94;6;SND;HRHY;UNK;STA;Yalea;MAIN;68|71
01572953;1;DOL;HORD;BIO;STA;Waterpump Creek;MAIN;68|69
F35C4D59;1;BAS;HNEA;UNK;STA;Cameron gold deposit;MAIN;44|46|50
F35C4D59;2;GAB;HNEA;UNK;STA;Cameron gold deposit;MAIN;46|51
F35C4D59;3;TUF;HNEA;UNK;STA;Cameron gold deposit;MAIN;46|51
F35C4D59;4;PDK;HUNK;UNK;N/A;Cameron gold deposit;MAIN;52|59
FE7D05AB;1;DOL;HTRI;UNK;STA;Rupice;MAIN;56|64|67
FE7D05AB;2;SBX;HTRI;UNK;STA;Rupice;MAIN;59|64|67
FE7D05AB;3;MRL;HTRI;UNK;STA;Rupice;MAIN;56|59|64|67
FE7D05AB;4;SND;HTRI;UNK;STA;Rupice;MAIN;56
FE7D05AB;5;MUD;HTRI;UNK;STA;Rupice;MAIN;56
FE7D05AB;6;SLT;HTRI;UNK;STA;Rupice;MAIN;56
