pdf_hash;mineralization_id;mineralization_style;mineralization_texture;continuity;control_type;ore_minerals;gangue_minerals;target_name;target_role;evidence_pages
DA092AD8;2;DIS;N/A;NRP;STR;NAU|ELC|PYR|ASP|GAL|SPH|CPY|MOL;QTZ|SER|DLM|ANK;Friday Zone;MAIN;15
DA092AD8;3;VEN;N/A;NRP;STR;NAU|ELC|PYR|ASP|GAL|SPH|CPY|MOL;QTZ;Friday Zone;MAIN;14|15
0492F4DB;1;VEN;N/A;PLG;STR;PYR|CPY;QTZ;Last Hope;MAIN;21
0A396A2D;1;SHM;N/A;NRP;COM;PYR|NAU;QTZ|ALB|CAC;Sabodala;MAIN;55|56
0A396A2D;2;VEN;N/A;NRP;COM;PYR|NAU;QTZ|ALB|CAC;Sabodala;MAIN;55|56
0A396A2D;3;BXH;N/A;NRP;COM;PYR|NAU;QTZ|ALB|CAC;Sabodala;MAIN;55|56
0A396A2D;4;DIS;N/A;NRP;COM;PYR|NAU;QTZ|ALB|CAC;Sabodala;MAIN;55|56
125AB95B;1;VEN;N/A;NRP;STR;NAU|FEO|CSC|BRC|MLC|CPY;QTZ|CAC;Bullard Pass;MAIN;12|13|15|17
125AB95B;2;SHM;N/A;NRP;STR;NAU|FEO|CSC|BRC|MLC|CPY;QTZ|CAC;Bullard Pass;MAIN;11|13
1B9D30ED;1;MSV;N/A;CNT;COM;NAU|ELC|PYR|POH|MOL|GAL|SPH|CPY|NBM;QTZ|TIT;Radcliff Mine;MAIN;32|35|36|37
1B9D30ED;2;DIS;N/A;CNT;COM;NAU|ELC|PYR|POH|MOL|GAL|SPH|CPY|NBM;QTZ|TIT;Radcliff Mine;MAIN;35|37
1B9D30ED;3;STK;N/A;CNT;COM;NAU|ELC|PYR|POH|MOL|GAL|SPH|CPY|NBM;QTZ|TIT;Radcliff Mine;MAIN;37
2139C2AB;1;DIS;INV;PLG;COM;ASP|PYR|NAU|STB|GAL|SPH|CPY|BLG|TEN|TET|BOU;QTZ|ANK|DLM;Fosterville;MAIN;49|51|52|56
2139C2AB;2;STK;VUG;PLG;COM;ASP|PYR|NAU|STB;QTZ|ANK|DLM;Fosterville;MAIN;49|51|52|56
2139C2AB;3;VEN;NUG;PLG;COM;STB|NAU;QTZ;Fosterville;MAIN;49|52
2A0A2B40;1;VEN;BRE;NRP;COM;NAU|ASP|POH|PYR|CPY;QTZ|CAC|MAG;Croesus Vein;MAIN;67|70
2A0A2B40;2;VEN;NUG;NRP;COM;NAU|ASP|POH|PYR|CPY;QTZ|CAC|MAG;Croesus Vein;MAIN;67|70
30CC4B45;1;STK;NUG;NRP;COM;NAU|ASP|PYR|CPY|POH|GAL|HEM;QTZ|CAC|TUR|SER|ALB;EMZ deposit;MAIN;74|80|88|89
380F1D68;1;VEN;NUG;POD;STR;NAU|PYR|HEM;QTZ;Main Showing;MAIN;57
402B13C7;1;VEN;BOI;NRP;COM;PYR|ASP;QTZ|CAC|SER;Esaase;MAIN;79|81|88|93|94|97|110
4A526D0C;1;VEN;BRE;NRP;COM;PYR|ASP|NAU|GAL|CPY|SPH|POH|ELC;QTZ|HEM|GOE|RUT;Sukari;MAIN;43|46|47
4A526D0C;2;BXH;SYM;NRP;COM;PYR|ASP|NAU|GAL|CPY|SPH|POH|ELC;QTZ|HEM|GOE|RUT;Sukari;MAIN;43|46|47
4A526D0C;3;DIS;N/A;NRP;COM;PYR|ASP;N/A;Sukari;MAIN;43|46
51D252D0;1;DIS;INV;NRP;COM;ARP|NAU|MRC|ASP|GAL|STB|REA|ORP|ENG;QTZ|RHO|CAC;Tres Cruces;MAIN;39|41|47|50|51
51D252D0;2;STK;COL;NRP;COM;ARP|NAU|MRC|ASP|GAL|STB|REA|ORP|ENG;QTZ|RHO|CAC;Tres Cruces;MAIN;47|50|51
51D252D0;3;REP;NUG;NRP;COM;ARP|NAU|MRC|ASP|GAL|STB|REA|ORP|ENG;QTZ|RHO|CAC;Tres Cruces;MAIN;39|47|51
51D252D0;4;VEN;N/A;NRP;COM;ARP|NAU|MRC|ASP|GAL|STB|REA|ORP|ENG;QTZ|RHO|CAC;Tres Cruces;MAIN;47|50|51
5BC3C16A;1;VEN;N/A;NRP;COM;PYR|POH|CPY;QTZ;Vumba Project;MAIN;32|37
5BC3C16A;2;DIS;N/A;NRP;COM;PYR|POH|CPY;N/A;Vumba Project;MAIN;34|37
68234CED;1;DIS;INV;PLG;COM;PYR|ASP|CIN|STB|ORP|REA|ARP|GAL;QTZ|DLM;Jinfeng;MAIN;43|45
68234CED;2;SHV;PSM;PLG;COM;PYR|ASP;QTZ|DLM;Jinfeng;MAIN;43
6FD50918;1;DIS;INV;NRP;COM;NAU|ARP;QTZ|CLY;EZ Junior;MAIN;82|84|86
6FD50918;2;BXH;INV;NRP;COM;NAU|ARP;QTZ|CLY;EZ Junior;MAIN;82|84|86
780353ED;1;REP;BRE;NRP;COM;NAU|PYR|POH|ASP|GAL|MAG;QTZ;Rebel Gold Deposit;MAIN;34|35|36|37
780353ED;2;VEN;BRE;NRP;COM;NAU|PYR|POH|ASP|GAL;QTZ;Rebel Gold Deposit;MAIN;36|37
7E18DD11;1;VEN;N/A;POD;COM;PYR|SPH|CPY|GAL|NBM|HAM|NAU;QTZ|CLO|CAC|ANK|RUT;Hammerdown;MAIN;56|57|58|59|72|73
841D480D;1;SHM;FLB;CNT;STR;NAU|GAL|PYR|POH|CPY|SPH|ASP|SSLT;QTZ|CAC;Lingman Lake Gold Mine;MAIN;71|72|73|92|93
8BABD205;1;N/A;N/A;NRP;CTN;PYR|HEM|CPY|MOL|GAL|NAU;QTZ;903 Zone;MAIN;67|68|69
93FA687C;1;SHM;N/A;NRP;COM;NAU|ASP|POH|PYR;CLO|ACT|CUM|DPS|GAR|QTZ;Umwelt;MAIN;106|108|109|140
93FA687C;2;VEN;N/A;NRP;COM;NAU|ASP|POH|PYR;CLO|ACT|CUM|DPS|GAR|QTZ;Umwelt;MAIN;106|108|109|140
9D1B5C40;1;DIS;INV;NRP;COM;NAU|PYR;N/A;Gold Rock Deposit;MAIN;56|57|59
9D1B5C40;2;BXH;INV;NRP;COM;NAU|PYR;N/A;Gold Rock Deposit;MAIN;56|57|59
A6A47485;1;STK;N/A;NRP;STR;PYR|POH|ASP|CPY|SPH|RUT;QTZ|ALB|CAC;Kibi Gold Project;MAIN;44|45|54
AE63D9BE;1;REP;N/A;PLG;COM;POH|ASP|PYR;QTZ|CAC;Roça Grande;MAIN;61|67
AE63D9BE;2;DIS;N/A;PLG;COM;POH|ASP|PYR;QTZ|CAC;Roça Grande;MAIN;61|67
AE63D9BE;3;VEN;N/A;NRP;STR;N/A;QTZ|SER|CLO;Roça Grande;MAIN;61
B433B884;1;SHM;PSM;PLG;COM;PYR|POH|ASP|CPY|NAU|CHC|GAL|ELC;QTZ|ANK|CAC|SER|CLO;Adumbi;MAIN;66|72|73|74|76
B433B884;2;VEN;PSM;PLG;COM;PYR|POH|ASP|CPY|NAU|CHC|GAL|ELC;QTZ|ANK|CAC;Adumbi;MAIN;65|66|72|73|74|76
BD896B47;1;VEN;N/A;NRP;COM;PYR|NAU;QTZ|CAC;VG Deposit;MAIN;45|47
BD896B47;2;STK;N/A;NRP;COM;PYR|NAU;QTZ|CAC;VG Deposit;MAIN;45|47
BD896B47;3;BXH;N/A;NRP;COM;PYR|NAU;QTZ|CAC;VG Deposit;MAIN;45|47
BD896B47;4;SHM;N/A;NRP;COM;PYR|NAU;QTZ|CAC;VG Deposit;MAIN;45|47
C3803153;1;VEN;OBS;CNT;COM;NAU|ELC|GOE|PYR|GAL|PET|CPY|SPH|COV|BOR|ACN|POH|MOL|WUL;QTZ|TUR|ALB;San Francisco;MAIN;65|68
C3803153;2;STK;OBS;CNT;COM;NAU|ELC|GOE|PYR|GAL|PET|CPY|SPH|COV|BOR|ACN|POH|MOL|WUL;QTZ|TUR|ALB;San Francisco;MAIN;65
C3803153;3;DIS;OBS;CNT;COM;NAU|ELC|GOE|PYR|GAL|PET|CPY|SPH|COV|BOR|ACN|POH|MOL|WUL;QTZ|TUR|ALB;San Francisco;MAIN;65|68
CCDD8792;1;VEN;N/A;NRP;STR;PYR|GAL|ASP|POH|SPH|CPY|ACN|COS|SCE;QTZ|SER;Cariboo Gold Project;MAIN;139|141|142|143
CCDD8792;2;REP;PSM;NRP;COM;PYR|ASP;N/A;Cariboo Gold Project;MAIN;142|143|153
D347FEC7;1;VEN;N/A;POD;COM;N/A;N/A;Copeçal;MAIN;71|108|112
D347FEC7;2;SHM;N/A;POD;COM;N/A;N/A;Copeçal;MAIN;108|112
DAE236F6;1;SHM;FLB;NRP;COM;POH|PYR|ASP|CPY|NAU;BIO|ALB|QTZ|SER;Natougou;MAIN;61|67|73|79|80
E1585FA5;1;SHM;N/A;PLG;STR;NAU|ASP|PYR|POH;QTZ|SER|BIO;Turmalina Mine;MAIN;48|49|50
E9B4DA19;1;DIS;N/A;NRP;COM;NAU|POH|ASP|PYR;QTZ|CLO|CAC|ANK;Touquoy;MAIN;32|34|37|39|43
E9B4DA19;2;VEN;N/A;NRP;COM;NAU|PYR|POH|GAL|CPY;QTZ;Touquoy;MAIN;32|34|37|39|43
F07F0539;1;DIS;INV;NRP;COM;PYR|MRC|ASP|REA|ORP|STB|ARP|NAU;QTZ|CAC|BAR|FLU|GYP|SID|DLM|SPH|APA|MIL;Betze-Post;MAIN;54|57|58|60
F07F0539;2;BXH;INV;NRP;COM;PYR|MRC|ASP|REA|ORP|STB|ARP|NAU;QTZ|CAC|BAR|FLU|GYP|SID|DLM|SPH|APA|MIL;Betze-Post;MAIN;54|57|58|60
F07F0539;3;VEN;INV;NRP;COM;PYR|MRC|ASP|REA|ORP|STB|ARP|NAU;QTZ|CAC|BAR|FLU|GYP|SID|DLM|SPH|APA|MIL;Betze-Post;MAIN;54|57|58|60
FE225BC3;1;SHM;N/A;NRP;COM;N/A;TUR|QTZ|SER;Copeçal;MAIN;52|56|58|63
834A4A8A;1;DIS;N/A;NRP;LIT;PYR|ASP|POH|CPY|ELC;QTZ;Samira;MAIN;17|18
0F38B052;1;VEN;N/A;NRP;STR;POH|PYR|NAU;QTZ;Agbaou;MAIN;25|26|27
0F38B052;2;LAT;N/A;NRP;N/A;N/A;N/A;Agbaou;MAIN;27
20818BCD;1;VEN;INV;NRP;COM;PYR|ASP|STB|MRC|POH|CPY|SPH;QTZ|CAC|TUR;Elvenei;MAIN;23|26|27|28|36
20818BCD;2;STK;INV;NRP;COM;PYR|ASP|STB|MRC|POH|CPY|SPH;QTZ|CAC|TUR;Elvenei;MAIN;23|26|27|28|36
20818BCD;3;BXH;BRE;NRP;COM;PYR|ASP|STB|MRC|POH|CPY|SPH;QTZ|CAC|TUR;Elvenei;MAIN;23|26|27|28|36
20818BCD;4;BXH;PSM;NRP;COM;PYR|ASP|STB|MRC|POH|CPY|SPH;QTZ|CAC|TUR;Elvenei;MAIN;23|26|27|28|36
2E40B925;1;DIS;INV;POD;COM;ARP|PYR|MRC|ASP|NAU|GOE|HEM;QTZ|CHD|CAC|JAR;Sorowar;MAIN;34|35|41|42|43
2E40B925;2;BXH;INV;POD;COM;ARP|PYR|MRC|ASP|NAU|GOE|HEM;QTZ|CHD|CAC|JAR;Sorowar;MAIN;34|35|41|42|43
2E40B925;3;VEN;INV;POD;COM;ARP|PYR|MRC|ASP|NAU|GOE|HEM;QTZ|CHD|CAC|JAR;Sorowar;MAIN;34|35|41|42|43
4001F43E;1;DIS;N/A;NRP;STR;PYR|NAU;QTZ|CAC|TUR;Bissa;MAIN;34|40|41|42|45
4001F43E;2;VEN;N/A;NRP;STR;PYR|NAU;QTZ|CAC|TUR;Bissa;MAIN;34|40|41|42|45
4001F43E;3;BXH;N/A;NRP;STR;PYR|NAU;QTZ|CAC|TUR;Bissa;MAIN;34|40|41|42|45
55429E2C;1;SHM;NUG;POD;STR;NAU|PYR|POH|CPY;QTZ;Bingo;MAIN;44
664AF00F;1;VEN;CKS;PLG;COM;NAU|PYR|CPY|POH|ASP|MOL;QTZ|SER|ALB|CAC|TUR|CLO;Island Gold Zone;MAIN;49|54|58|59
664AF00F;2;VEN;BRE;PLG;COM;NAU|PYR|CPY|POH|ASP|MOL;QTZ|SER|ALB|CAC|TUR|CLO;Island Gold Zone;MAIN;49|54|58|59
664AF00F;3;VEN;FLB;PLG;COM;NAU|PYR|CPY|POH|ASP|MOL;QTZ|SER|ALB|CAC|TUR|CLO;Island Gold Zone;MAIN;49|54|58|59
772AF4A8;1;VEN;INV;CNT;STR;PYR|SPH|TET|GAL|CPY|NAU|MRC|ASP;QTZ|HEM|BAR|CAC;Uzboy;MAIN;20|26|27|28|29|30
772AF4A8;2;STK;INV;CNT;STR;PYR|SPH|TET|GAL|CPY|NAU|MRC|ASP;QTZ|HEM|BAR|CAC;Uzboy;MAIN;20|26|27|28|29|30
772AF4A8;3;SHM;INV;CNT;STR;PYR|SPH|TET|GAL|CPY|NAU|MRC|ASP;QTZ|HEM|BAR|CAC;Uzboy;MAIN;20|26|27|28|29|30
772AF4A8;4;DIS;INV;CNT;STR;PYR|SPH|TET|GAL|CPY|NAU|MRC|ASP;QTZ|HEM|BAR|CAC;Uzboy;MAIN;28|29
772AF4A8;5;VEN;PSM;CNT;STR;PYR|SPH|TET|GAL|CPY|NAU|MRC|ASP;QTZ|HEM|BAR|CAC;Uzboy;MAIN;20|26|27|28|29|30
8E2502C1;1;DIS;N/A;POD;COM;PYR|POH|ASP|HEM|NAU;QTZ|ACT|CAC|MNO|RHO|RDN|GAR;Marudi Property;MAIN;21|24|26|27|28
8E2502C1;2;STK;N/A;POD;COM;PYR|POH|ASP|HEM|NAU;QTZ|ACT|CAC|MNO|RHO|RDN|GAR;Marudi Property;MAIN;21|24|26|27|28
8E2502C1;3;VEN;N/A;POD;COM;PYR|POH|ASP|HEM|NAU;QTZ|ACT|CAC|MNO|RHO|RDN|GAR;Marudi Property;MAIN;21|24|26|27|28
8E2502C1;4;BXH;N/A;POD;COM;PYR|POH|ASP|HEM|NAU;QTZ|ACT|CAC|MNO|RHO|RDN|GAR;Marudi Property;MAIN;21|24|26|27|28
ACECE34B;1;VEN;N/A;NRP;STR;NAU|CPY|MOL|PYR;QTZ;Stephen Lake Stock;MAIN;29|33
C1C45B8C;1;VEN;NUG;CNT;COM;ASP|POH|NAU|GAL|SPH;QTZ|ANK|CAC|PYR|CPY|SER|CLO;Tiriganiaq;MAIN;45|46|47|48
C1C45B8C;2;STK;N/A;NRP;COM;ASP|POH|NAU|GAL|SPH;QTZ|ANK|CAC|PYR|CPY|SER|CLO;Tiriganiaq;MAIN;45|46|47
C1C45B8C;3;SHM;CKS;PLG;COM;ASP|POH|NAU|GAL|SPH;QTZ|ANK|CAC|PYR|CPY|SER|CLO;Tiriganiaq;MAIN;45|46|47|48
D9B74825;1;VEN;NUG;POD;STR;NAU|PYR;QTZ|MGN|DLM|CAC|MAR;Yellowjacket Zone;MAIN;24|26|27|33|37
D9B74825;2;STK;NUG;POD;STR;NAU|PYR;QTZ|CAC;Yellowjacket Zone;MAIN;24|27|33
D9B74825;3;SHM;NUG;POD;STR;NAU;QTZ;Yellowjacket Zone;MAIN;33|37
D9B74825;4;BXH;NUG;POD;STR;NAU;QTZ;Yellowjacket Zone;MAIN;33
E8AE8CD8;1;VEN;OBS;POD;STR;PYR|CPY;QTZ|CLO|SER;Jean-Gobelé;MAIN;28|35|36|38
F6ECFE72;1;SHM;FLB;PLG;COM;POH|PYR|CPY|ASP|SPH|GAL|NAU;N/A;Tucano;MAIN;71|74|77|78|79
F6ECFE72;2;DIS;FLB;PLG;COM;POH|PYR|CPY|ASP|SPH|GAL|NAU;N/A;Tucano;MAIN;71|74|77|78|79
F6ECFE72;3;MSV;FLB;PLG;COM;POH|PYR|CPY|ASP|SPH|GAL|NAU;N/A;Tucano;MAIN;71|74|77|78|79
F6ECFE72;4;VEN;FLB;PLG;COM;POH|PYR|CPY|ASP|SPH|GAL|NAU;N/A;Tucano;MAIN;71|74|78|80|81
633DD464;1;SHV;N/A;NRP;COM;NAU|PYR|CPY|ASP;QTZ|CAC;Esaase Gold Deposit;MAIN;34|36|37
56C9C0D0;1;MSV;BRE;NRP;STG;PYR|POH|SPH|GAL|CPY;N/A;Canoe Landing Lake;MAIN;33|35|36|37
C84466C0;1;REP;N/A;NRP;COM;SCE|WLF|MOL|BIS|NBM|NAU|NSV|TELL|ASP|PYR|CPY|SPH;QTZ|DPS|GAR|FLU|ZOI|HBL|WOL|CAC|MUS|BIO|CLO|TRE|ALB;Sangdong;MAIN;52|53
C84466C0;2;VEN;N/A;NRP;COM;SCE|MOL|BIS;QTZ;Sangdong;MAIN;53|54
DCEA8E11;1;VEN;NUG;POD;COM;PYR|NAU|MOL|CPY|GAL|CAL;QTZ|CAC|TUR|ALB;Parbec deposit;MAIN;28|29|30|32|36|39
DCEA8E11;2;DIS;NUG;POD;COM;PYR|NAU|MOL|CPY|GAL|CAL;QTZ|CAC|TUR|ALB;Parbec deposit;MAIN;28|29|32|36|39
FCA2A22A;1;DIS;N/A;CNT;STG;MNO|PYR;CAC|QTZ;Stratiform Manganese Deposits;MAIN;60|61|63
7C209994;1;REP;PSM;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
7C209994;2;MSV;BRE;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
7C209994;3;DIS;N/A;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
7C209994;4;BXH;N/A;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
7C209994;5;STK;N/A;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
7C209994;6;VEN;N/A;NRP;COM;SPH|GAL|CPY|PYR|TET|STB|CIN;BAR|ANK|QTZ;Rupice;MAIN;57|59|64|67
070004F2;1;VEN;N/A;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;56|57|58
070004F2;2;MSV;N/A;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;56|57|58
070004F2;3;STK;N/A;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;56|57|58
070004F2;4;DIS;N/A;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;56|57|58
070004F2;5;BXH;N/A;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;56|57|58
070004F2;6;N/A;BRE;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;57|58
070004F2;7;N/A;PSM;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;57|58
070004F2;8;N/A;VUG;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;57|58
070004F2;9;N/A;OBS;NRP;COM;PYR|MRC|TEN|ENG|LUZ|CPY|FAM|SPH|GAL|NAU|ELC|NSV|TET|BOR;QTZ|BAR|KAO|CLO|ANK|GYP;Chelopech;MAIN;57|58
87133BE3;1;SHM;FLB;CNT;COM;POH|ASP|PYR|CPY|PEN|NAU|GAL|SPH|MAG|ILM|RUT|NIC|GER|HEM;TRE|CLO|MICU|SRP|TAL|QTZ|TUR;New Liberty;MAIN;65|70|71|72
87133BE3;2;DIS;FLB;CNT;COM;POH|ASP|PYR|CPY|PEN|NAU|GAL|SPH|MAG|ILM|RUT|NIC|GER|HEM;TRE|CLO|MICU|SRP|TAL|QTZ|TUR;New Liberty;MAIN;70|71|72
87133BE3;3;VEN;FLB;CNT;COM;POH|ASP|PYR|CPY|PEN|NAU|GAL|SPH|MAG|ILM|RUT|NIC|GER|HEM;TRE|CLO|MICU|SRP|TAL|QTZ|TUR;New Liberty;MAIN;70|71|72
B97652A4;1;VEN;N/A;NRP;COM;NAU|PYR|POH|CPY;QTZ|CAC|SER|TUR|APA|EPD|CLD|GAR|CLO;Island Gold;MAIN;74|90
B97652A4;2;DIS;N/A;NRP;COM;NAU|PYR|POH|CPY;QTZ|CAC|SER|TUR|APA|EPD|CLD|GAR|CLO;Island Gold;MAIN;74|90
C536FA47;1;STK;N/A;NRP;STR;NAU|PYR|POH;QTZ|ALB;Antenna;MAIN;63
0E07E1B2;1;REP;PSM;CNT;COM;NAU|ELC|TELL|PYR|ARP|SPH|GAL|ASP|CPY;CAC|QTZ;Bigar Hill;MAIN;56|57|62|63|65
0E07E1B2;2;BXH;BRE;CNT;COM;NAU|ELC|TELL|PYR|ARP|SPH|GAL|ASP|CPY;CAC|QTZ;Bigar Hill;MAIN;56|57|62|63|65
37CEB943;1;VEN;N/A;NRP;STR;ACN|CGY|CPY|CHC|GAL|SPH|BOR|NSV|NAU|NCU;HEM|LIM|ANG|MLC|QTZ|CLO|PYR|BAR|ASP|POH;Avino Vein;MAIN;51|52
37CEB943;2;STK;N/A;NRP;STR;ACN|CGY|CPY|CHC|GAL|SPH|BOR|NSV|NAU|NCU;HEM|LIM|ANG|MLC|QTZ|CLO|PYR|BAR|ASP|POH;Avino Vein;MAIN;51|52
D08CA9F8;1;REP;N/A;NRP;COM;HEM|GOE|LIM|JAR|NAU|ELC|NSV|MNO|SBO|SCO|MLC|AZU|CER;QTZ;Illinois Creek deposit;MAIN;43|49|52|54|56
D08CA9F8;2;SHM;N/A;NRP;COM;PYR|SPH|CPY|ASP|TET|ELC|NBM|BIS|STN|STB|BLG|GAL;QTZ|SID|ANK|DLM|RHO;Illinois Creek deposit;MAIN;43|49|51|52|54
56CB96EA;1;VEN;INV;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;2;DIS;INV;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;3;REP;INV;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;4;BXH;INV;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;5;VEN;VUG;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;6;DIS;VUG;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;7;REP;VUG;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
56CB96EA;8;BXH;VUG;NRP;STR;PYR|MRC|ASP|CPY|ELC|TELL|NAU;QTZ|CAC|ANH|CLO|ADS;Lihir;MAIN;70|72|75
0BE662C0;1;LAT;N/A;NRP;LIT;LIM|HEM|GOE|SME|GARN;OLV|PYX|TAL|MGN|CAC|SRP;Agata Nickel Laterite Project (ANLP);MAIN;36|38|39
411C394B;1;SHM;NUG;NRP;COM;NAU|PYR|POH|ASP;QTZ|ANK;Adumbi;MAIN;86|88|91|96|117|119
B19547C4;1;VEN;NUG;SIN;STR;NAU|PYR|POH|SPH|GAL|ASP|CPY;QTZ;Rowan Vein System;MAIN;60|61
B19547C4;2;STK;NUG;SIN;STR;NAU|PYR|POH|SPH|GAL|ASP|CPY;QTZ;Rowan Vein System;MAIN;60|61
C2786F94;1;VEN;N/A;NRP;STR;PYR|ASP|CPY;ALB|CLO|QTZ|SER|CAC;Yalea;MAIN;74
C2786F94;2;BXH;N/A;NRP;STR;PYR|ASP|CPY;ALB|CLO|QTZ|SER|CAC;Yalea;MAIN;74
