pdf_hash;vein_id;vein_type;target_name;target_role;evidence_pages
04B0BFA3;2;EXT;Main Stripped Zone;MAIN;16
04B0BFA3;3;AUR;Main Stripped Zone;MAIN;16
04B86048;1;SHV;Bombore;MAIN;107
04B86048;2;EXT;Bombore;MAIN;108
04B86048;3;QCC;Bombore;MAIN;112
04F33E01;1;QFV;Canadian Malartic;MAIN;50
04C5563D;1;QSF;Cerro de Oro;MAIN;53
04C5563D;2;MGV;Cerro de Oro;MAIN;53
04D722E3;1;QCC;Gordon-Ven Lake;MAIN;46|47|48
052FD466;1;QSF;Hammerdown;MAIN;33|34
0527E792;1;QCC;Fayolle deposit;MAIN;49
05419167;1;QCC;Granada;MAIN;60|64
05151973;1;QSF;Fortnum Gold Project;MAIN;65|66
0573AFD8;1;EXT;Colomac Main;MAIN;78|119
0573AFD8;2;SHV;Colomac Main;MAIN;78
0573AFD8;3;FLT;Colomac Main;MAIN;119
0573AFD8;4;QCC;Colomac Main;MAIN;78|119
062C08C1;1;QSF;Touquoy;MAIN;90
0613D036;1;QSF;Diabarou;MAIN;24|25
0645D8D4;1;QCC;Adumbi;MAIN;70|84
0695EA16;1;AUR;Solona;MAIN;26|39|45
06950BED;1;MGV;Madsen;MAIN;66
06950BED;2;SKV;Madsen;MAIN;67
06C30B18;1;QSF;Paddy's Flat;MAIN;89
06C30B18;2;FLT;Paddy's Flat;MAIN;89|101|102
06C30B18;3;QCC;Paddy's Flat;MAIN;103|104
07095F68;1;SHV;Magdala;MAIN;52|56|57
07095F68;2;EXT;Magdala;MAIN;52|53|56
0723F78A;1;QCC;Turnberry;MAIN;33|34
0723F78A;2;QTU;Turnberry;MAIN;33
06D32B92;1;QCC;Moss Lake deposit;MAIN;36
0736472B;1;QCC;Idaho-Maryland Deposit;MAIN;93|101
081D24CD;1;QSF;Great Fingall;MAIN;78|85
07EA6630;1;QCC;Hardrock deposit;MAIN;127|138|141
082DBCC0;1;QSF;Main Gold Zone;MAIN;33
082DBCC0;2;QCC;Main Gold Zone;MAIN;33
0842E5D2;1;QCC;Magino;MAIN;52|58|59
0842E5D2;2;QTU;Magino;MAIN;55
085F4CC2;1;QSF;Jethro Structure;MAIN;12
085F4CC2;2;QCC;Jethro Structure;MAIN;16
085F4CC2;3;MUL;Jethro Structure;MAIN;16
084BA32A;1;QSF;El Huacal District;MAIN;57|73
084BA32A;2;SHV;El Huacal District;MAIN;74
088BAB7A;1;QSF;Golden Horseshoe Reef;MAIN;31
08E407A0;1;QCC;A8 3200 vein system;MAIN;33|36
08E407A0;2;QSF;A8 3200 vein system;MAIN;33
094023F6;1;QCC;Pine Cove Mine;MAIN;65
094023F6;2;QSF;Pine Cove Mine;MAIN;65
095529B3;1;QSF;Tay-LP;MAIN;25
0965B1B3;1;QSF;Batman;MAIN;72
096E99E8;1;AUR;Imperial;MAIN;52|53|54
0987FD5B;1;QCC;Little Stull Lake;MAIN;66
09F70DBA;1;QTU;West Branch;MAIN;63
09F70DBA;2;AUR;West Branch;MAIN;63
09F70DBA;3;QSF;West Branch;MAIN;63
09F70DBA;4;QCC;West Branch;MAIN;63
0A06CB49;1;QSF;Thor Trend;MAIN;26|28
0A06CB49;2;QCC;Thor Trend;MAIN;28
0A29219A;1;MUL;Cachoeira;MAIN;32
0A5EE568;1;AUR;Imperial Gold Deposit;MAIN;53|54|55
0A783087;1;QSF;Posse;MAIN;49|52
0A6DB12A;1;QSF;Marathon;MAIN;66
0AA90EBC;1;QSF;Anatacau Project;MAIN;15|20|25|26|29
0B7EB4D0;1;QSF;Buckreef Prospect;MAIN;29
0B05B43E;1;QCC;EMZ;MAIN;94|98|101
0B05B43E;2;QSF;EMZ;MAIN;101
0B05B43E;3;SHV;EMZ;MAIN;97|98
0B05B43E;4;EXT;EMZ;MAIN;97|98
0BABAA77;1;QAD;Gold Road Mine;MAIN;49
0B016195;1;QSF;Burnakura;MAIN;55
0C01BBE0;1;QSF;3 Aces;MAIN;28|30
0C314901;1;QCC;Nelligan;MAIN;44|46
0BB1A012;1;QCC;O'Brien Project;MAIN;65|68
0C44E46A;1;QCC;Main Structural Corridor (MSC);MAIN;22|24|27
0CA19FF7;1;QCC;Hislop Property;MAIN;22
0CA3FEC4;1;AUR;Kofi C;MAIN;25
0CB5C5C9;1;QCC;KCD;MAIN;56
0CEB7E63;1;QCC;Esaase;MAIN;33
0D0DF078;1;QSF;Herbert Veins;MAIN;19|20
0D138A33;1;QSF;BT deposit;MAIN;24|25
0D138A33;2;QCC;BT deposit;MAIN;25
0D1BA604;1;QSF;Havelock Project;MAIN;45|46
0D1BA604;2;SHV;Havelock Project;MAIN;45|46
0D1BA604;3;FLT;Havelock Project;MAIN;46|49
0DBC95C9;1;QSF;Batman deposit;MAIN;88|90
0E09DB1B;1;QCC;Monique Gold Zones;MAIN;27|28
0E09DB1B;2;MUL;Monique Gold Zones;MAIN;28
0E182762;1;QSF;Gatsuurt;MAIN;77
0E182762;2;QCC;Gatsuurt;MAIN;77
0E182762;3;AUR;Gatsuurt;MAIN;77
0E681B6E;1;QSF;Kiryan;MAIN;36
0EC27446;1;QCC;Masato;MAIN;46
0E3A1F62;1;QCC;Goose Site;MAIN;71|72
0F4CC9B9;1;QSF;Santo Antonio;MAIN;31
0F7248E2;1;QCC;Lafigue;MAIN;74|75
0F825C4A;1;AUR;Youga;MAIN;94|95
0FD3508E;1;QCC;Morro do Ouro;MAIN;40|42
0FD3508E;2;QSF;Morro do Ouro;MAIN;42
0FD3508E;3;MUL;Morro do Ouro;MAIN;40
0FB9B301;1;QFV;Canadian Malartic;MAIN;34
0FE25F31;1;QTU;Lac Herbin;MAIN;25|26
104A5E9E;1;QCC;Lacoma;MAIN;28
104F165D;1;QCC;Sissingué;MAIN;338
10B0ED67;1;QCC;Raven;MAIN;18|19
10D8F3A3;1;QCC;Zone Est;MAIN;28
10D4734D;1;QCC;New Britannia Mine;MAIN;70
112BAE17;1;QSF;Island Gold;MAIN;71
112BAE17;2;QCC;Island Gold;MAIN;71|87
112BAE17;3;QTU;Island Gold;MAIN;71
116130B5;1;AUR;Omega Group;MAIN;27
11873F4A;1;AUR;Butiá;MAIN;34
11661848;1;QSF;Venice Complex;MAIN;47|48
11E61ECF;1;QSF;Lone Star;MAIN;53
11B1508F;1;QSF;Rajapalot;MAIN;26
119A11D5;1;QSF;Fifteen Mile Stream;MAIN;53
119A11D5;2;SHV;Fifteen Mile Stream;MAIN;53|54
11EE97BD;1;QCC;Golden Saddle;MAIN;57
1228157A;1;QCC;Tabakoto Deposit;MAIN;72|95
1228157A;2;QSF;Tabakoto Deposit;MAIN;96
125F6C94;1;QCC;Cristina;MAIN;49
12F3C89C;1;QCC;AMAX Area;MAIN;18
12F3C89C;2;QSF;AMAX Area;MAIN;18
134FCCD2;1;QCC;Wassa;MAIN;43|45|48
1339F97C;1;FLT;Detour Lake and West Detour;MAIN;70
1339F97C;2;EXT;Detour Lake and West Detour;MAIN;70|71
1339F97C;3;QCC;Detour Lake and West Detour;MAIN;71
1339F97C;4;SHV;Detour Lake and West Detour;MAIN;71
138A9603;1;QCC;Golden Saddle;MAIN;49|55
13CCF8B6;1;QSF;Twangiza;MAIN;41
13CCF8B6;2;QCC;Twangiza;MAIN;41
13EA550C;1;QFV;Antenna deposit;MAIN;32
13FE50E7;1;SHV;Butia;MAIN;60|61
149016FB;1;QCC;Faina;MAIN;55|61|70
14160ED1;1;QCC;Kobada;MAIN;98
14DE3D9A;1;QCC;Asuogya;MAIN;22
14BDF6F7;1;QSF;Pinson;MAIN;54
14BDF6F7;2;QCC;Pinson;MAIN;58
14E5F379;1;SBV;Star Lake;MAIN;39
14D7CA01;1;QCC;Queensway Project;MAIN;19|93|96
14D7CA01;2;MUL;Queensway Project;MAIN;19|93
14FE1F17;1;QSF;RZ;MAIN;40
15AF8D4C;1;QCC;Triangle Deposit;MAIN;80
158B14EB;1;QSF;Zone 2;MAIN;38
159672F0;1;QCC;Rattling Brook Gold Deposit;MAIN;71|73
159672F0;2;QSF;Rattling Brook Gold Deposit;MAIN;73
15D04CB0;1;QCC;DAC Deposit;MAIN;38
15D04CB0;2;QSF;DAC Deposit;MAIN;38|39
15CB45F5;1;QSF;Pitt Gold;MAIN;29
15E968D0;1;QCC;Linkwood;MAIN;21
15E968D0;2;QSF;Linkwood;MAIN;24
15D484D9;1;QSF;Reward;MAIN;57
16683AD0;1;QSF;Tabakoroni;MAIN;23|24
16683AD0;2;QCC;Tabakoroni;MAIN;24
16BBCB94;1;SHV;Big Hill;MAIN;43|47|48
16BBCB94;2;QSF;Big Hill;MAIN;43|44
16BBCB94;3;EXT;Big Hill;MAIN;43|44
16C7BB46;1;QSF;Kone;MAIN;60|67
1737DA07;1;QSF;Island Zone;MAIN;61|65
1737DA07;2;QCC;Island Zone;MAIN;61|65
1737DA07;3;AUR;Island Zone;MAIN;65
16ECE394;1;QSF;Chaminé;MAIN;42|43|50
16D979D3;1;QCC;Duparquet;MAIN;59
17E27C66;1;QCC;Jefferson Gold Project;MAIN;34
17DC7EE4;1;QCC;Omega;MAIN;28|29
17EF89A8;1;SHV;Storø;MAIN;28
17EF89A8;2;EXT;Storø;MAIN;28
17DA2760;1;ALS;Amulsar;MAIN;33
17F98519;1;QCC;Golouma West;MAIN;45
1866E001;1;QCC;Doropo Deposits;MAIN;22
182BC15E;1;QCC;Timmins West Mine;MAIN;62|65|70
182BC15E;2;QSF;Timmins West Mine;MAIN;62|65|66
182BC15E;3;EXT;Timmins West Mine;MAIN;63|65|66
182BC15E;4;SHV;Timmins West Mine;MAIN;65
182BC15E;5;QTU;Timmins West Mine;MAIN;62
18821E32;1;QCC;Choco 10;MAIN;51|56
18B8525E;1;QSF;Tocantinzinho;MAIN;34
1905889A;1;QSF;Netiana;MAIN;91|98|103
19BC2616;1;QSF;Table Mountain Vein Systems;MAIN;32|39
1A09A6C5;1;QCC;Flordin deposit;MAIN;32|33|37
1A1CA32E;1;SHV;Kobada;MAIN;38|39
1A1CA32E;2;EXT;Kobada;MAIN;38|39
1A1CA32E;3;QCC;Kobada;MAIN;40|41
1A6CFF70;1;QSF;North Lake deposit;MAIN;84|86
1A7B38F8;1;AUR;Nalunaq;MAIN;5|61|65
1A7B38F8;2;EXT;Nalunaq;MAIN;5|61
1A7C389B;1;QSF;Goingoindougou;MAIN;35|36|49
1A8140D3;1;QCC;Bellechasse-Timmins deposit;MAIN;28|30
1AC556B7;1;SHV;Gourbassi West;MAIN;60
1B737743;1;QCC;Borborema deposit;MAIN;87
1B737743;2;AUR;Borborema deposit;MAIN;83
1B2900EE;1;QCC;Bomboré;MAIN;43|44
1B2900EE;2;SHV;Bomboré;MAIN;44
1B76BEA9;1;QCC;Donchester Mine;MAIN;24|26|27
1B999829;1;QSF;Marudi Property;MAIN;31
1B84EA2F;1;AUR;Nkran;MAIN;85|86|90
1B84EA2F;2;SHV;Nkran;MAIN;83
1BBCE5C2;1;AUR;Mosquito Hill;MAIN;77|83
1BEAFCFB;1;QCC;55 Zone;MAIN;31|33
1BC9BB63;1;QCC;Taurus Deposit;MAIN;28
1BC9BB63;2;QSF;Taurus Deposit;MAIN;29
1BFE7520;1;QCC;Mankarga 5;MAIN;54
1BFE7520;2;QSF;Mankarga 5;MAIN;66
1BEE6489;1;QCC;Frankfield East Deposit;MAIN;41
1C01C09B;1;QSF;Pilar;MAIN;60
1C5D0682;1;QCC;Tassawini;MAIN;32
1C3385F6;1;QCC;Choco 10;MAIN;49|53
1C08D521;1;QSF;Massawa;MAIN;73|75
1C08D521;2;QCC;Massawa;MAIN;78
1C08D521;3;EXT;Massawa;MAIN;73|78
1C08D521;4;SHV;Massawa;MAIN;73
1CD9BB53;1;QCC;Mt Clifford;MAIN;87
1CA3A079;1;AUR;Long Canyon;MAIN;48
1CA3A079;2;CAV;Long Canyon;MAIN;48
1CAE0FC0;1;QCC;Santa Gertrudis;MAIN;64|65
1CAE0FC0;2;MUL;Santa Gertrudis;MAIN;64
1CEBFF59;1;QCC;Oko Main Zone;MAIN;70|76|79
1CEBFF59;2;QSF;Oko Main Zone;MAIN;71|74
1D25010B;1;QSF;Natougou;MAIN;36
1D2D184E;1;QSF;Paciência Mining Complex;MAIN;39|43
1D2D184E;2;QCC;Paciência Mining Complex;MAIN;39|43
188135F4;1;QCC;Francoeur Deposit;MAIN;25
1D9455F0;1;SBV;Pan Project;MAIN;48
1D9455F0;2;CAV;Pan Project;MAIN;48
1DAEC218;1;QCC;Björkdal;MAIN;58
1DB78EE7;1;QSF;Hemlo;MAIN;68
1DD36FDF;1;QCC;Gold Pick;MAIN;4|55
1DFA2C0F;1;QCC;Apankrah;MAIN;38
1DFA2C0F;2;EXT;Apankrah;MAIN;38
1E022488;1;SHV;Orenada;MAIN;90|91
1E022488;2;FLT;Orenada;MAIN;91
1E0A2A78;1;AUR;Detour Lake;MAIN;96
1E0A2A78;2;QCC;Detour Lake;MAIN;97|100
1E0A2A78;3;SHV;Detour Lake;MAIN;100
1E0A2A78;4;EXT;Detour Lake;MAIN;100
1E11A67B;1;QCC;Madsen Deposit;MAIN;51|66|75
1E11A67B;2;AUR;Madsen Deposit;MAIN;51|67
1E1F8F66;1;QCC;Mankouke South;MAIN;51
1E319B80;1;QCC;Malikoundi;MAIN;61
1E319B80;2;QSF;Malikoundi;MAIN;63
1E75A335;1;QCC;Côté Gold deposit;MAIN;179
1E75A335;2;SHV;Côté Gold deposit;MAIN;180
1E99CAC7;1;QSF;Paiol;MAIN;46
1EA4BB1E;1;QSF;São Vicente;MAIN;34|36|37
1EA4BB1E;2;SHV;São Vicente;MAIN;34|35
1EA4BB1E;3;EXT;São Vicente;MAIN;34|35
1ED86FA6;1;SHV;Eagle River;MAIN;22
1EB76791;1;QTU;Sergeevskoe;MAIN;41|42|44|45|46
1EB76791;2;QSF;Sergeevskoe;MAIN;41|43
1EB76791;3;QCC;Sergeevskoe;MAIN;43
1EE33807;1;QCC;HBJ;MAIN;40
1EF43E4D;1;QCC;San Juan Vein Swarm;MAIN;53
1F0751C3;1;QAD;Florida Canyon Mine;MAIN;45|46
1F0751C3;2;MUL;Florida Canyon Mine;MAIN;45
1F0751C3;3;AUR;Florida Canyon Mine;MAIN;45
1F0EE9E9;1;QCC;Carolin Mine;MAIN;43
1F1DC537;1;QCC;Relief Canyon;MAIN;63|64|65
1F1DC537;2;QAD;Relief Canyon;MAIN;66|68
1F1DC537;3;SHV;Relief Canyon;MAIN;67
1F458B48;1;SHV;Kalana;MAIN;114|116
1F458B48;2;EXT;Kalana;MAIN;114|117
1F630381;1;QCC;Golden Harker;MAIN;44
1FC92E68;1;QCC;South Bullfrog Property;MAIN;62|64
2010BE16;1;QCC;Triangle;MAIN;83
2010BE16;2;SHV;Triangle;MAIN;83
2010BE16;3;EXT;Triangle;MAIN;83
202807F1;1;QCC;Kouroussa;MAIN;36
1FFDF094;1;EXT;Trident;MAIN;52|53|54|60
1FFDF094;2;SHV;Trident;MAIN;45|53|55|56|60
20D3D36E;1;QSF;Goldboro;MAIN;39
20D3D36E;2;MUL;Goldboro;MAIN;40
20D3D36E;3;QCC;Goldboro;MAIN;44
20F6CE4D;1;QSF;Providence Mine;MAIN;37
20F6CE4D;2;QCC;Providence Mine;MAIN;41
213027CF;1;QCC;Aurora Gold Project;MAIN;59|61|62|63|65|66|67
20E2443B;1;QTU;Lamaque;MAIN;53|58|67|76
2187A358;1;QSF;Reward Zone;MAIN;56|58
217876A7;1;QSF;Björkdal;MAIN;62|69
21F50592;1;QSF;Maud Creek deposit;MAIN;53|55
21EC804B;1;QSF;Paredones;MAIN;44
21ACC570;1;QSF;Boroo;MAIN;58
221226CF;1;AUR;Satinoco;MAIN;17
2235BE82;1;QCC;Black Fox;MAIN;56|58|59|61
2247EB88;1;QCC;Blanket Mine;MAIN;49|50
2298CBFE;1;QCC;Beattie-Donchester;MAIN;23|24|25
229E58E2;1;QCC;Alexander Property;MAIN;30|37
233AFC1B;1;QSF;Björkdal;MAIN;59
233AFC1B;2;MUL;Björkdal;MAIN;59|65
2340AEB1;1;QSF;Eldorado;MAIN;27
22DBA216;1;QCC;Tower Gold Project;MAIN;105|107|108|110|114
23472CCD;1;QCC;São Sebastião;MAIN;37
2394D734;1;QSF;Kone;MAIN;42|49
236B651A;1;QSF;Bilboes;MAIN;60
235457EF;1;QSF;Los Planes and Las Colinas;MAIN;25
239DB373;1;QCC;Merian II;MAIN;57
24B9A082;1;AUR;Mankarga;MAIN;76
24BD37C9;1;QCC;Sam Otto;MAIN;64
25CA4953;1;QSF;Corner Lake Gold Deposit;MAIN;25|26
25CA4953;2;QCC;Corner Lake Gold Deposit;MAIN;25
25B1C7D2;1;QCC;Beattie-Donchester;MAIN;24|25|26
25B1C7D2;2;MUL;Beattie-Donchester;MAIN;27
2624ABED;1;QCC;SREP deposits;MAIN;23
25F92493;1;QCC;Lafigué;MAIN;194|199
26305346;1;QCC;Black Pine;MAIN;40
2640ABDA;1;QCC;Bralorne-Pioneer;MAIN;60|63
26519CE6;1;QSF;Midway Project;MAIN;48
26519CE6;2;QCC;Midway Project;MAIN;46
265A3824;1;QCC;M Zone;MAIN;37
266494E0;1;QCC;Obotan;MAIN;38
266494E0;2;QSF;Obotan;MAIN;38
26906D0E;1;QSF;Lunch Pond South Extension;MAIN;39
26EE263C;1;AUR;Touquoy West;MAIN;80
275CD4A0;1;QCC;Cecil R;MAIN;43|46
27014924;1;SHV;Helen Zone;MAIN;43
275840FC;1;SHV;C1;MAIN;75
275840FC;2;FLT;C1;MAIN;75
275840FC;3;MUL;C1;MAIN;75
275840FC;4;QCC;C1;MAIN;75|80
2785C445;1;QSF;Beaver Dam deposit;MAIN;32|33
27651010;1;AUR;Bell Creek;MAIN;51|52
278FF823;1;QCC;Detour Lake;MAIN;96|102
278FF823;2;QSF;Detour Lake;MAIN;107
279D99F2;1;AUR;Hislop Deposit;MAIN;46|48
27E5F10F;1;QCC;Marriott Gold Zone;MAIN;22|23
27E5F10F;2;QTU;Marriott Gold Zone;MAIN;22
