pdf_hash;ratio_id;ratio_code;ratio_value;target_name;target_role;evidence_pages
893BB876;1;AU_AG;2.0;Riacho dos Machados Mine;MAIN;87
89C7421F;1;AG_AU;0.5;Riacho dos Machados;MAIN;48
8B56DDC5;1;AU_AG;5.0;BT deposit;MAIN;23
8E0D8ECE;1;AU_AG;10.0;Fosterville;MAIN;27
8FB9891B;1;AU_AG;1.0;Los Planes;MAIN;54
9209F4F0;1;AG_AU;1.7;Coringa;MAIN;67
9209F4F0;2;CU_AU;172.0;Coringa;MAIN;67
9209F4F0;3;PB_AU;996.0;Coringa;MAIN;67
9209F4F0;4;ZN_AU;1595.0;Coringa;MAIN;67
9209F4F0;5;AG_AU;3.35;Coringa;MAIN;67
9209F4F0;6;CU_AU;125.0;Coringa;MAIN;67
9209F4F0;7;PB_AU;343.0;Coringa;MAIN;67
9209F4F0;8;ZN_AU;333.0;Coringa;MAIN;67
9209F4F0;9;AG_AU;4.2;Coringa;MAIN;67
9209F4F0;10;CU_AU;232.0;Coringa;MAIN;67
9209F4F0;11;PB_AU;2700.0;Coringa;MAIN;67
9209F4F0;12;ZN_AU;1845.0;Coringa;MAIN;67
9209F4F0;13;AG_AU;0.4;Coringa;MAIN;67
9209F4F0;14;CU_AU;17.0;Coringa;MAIN;67
9209F4F0;15;PB_AU;220.0;Coringa;MAIN;67
9209F4F0;16;ZN_AU;76.0;Coringa;MAIN;67
9A9C188C;1;AU_AG;10.0;Fosterville Gold Mine;MAIN;37
A036F348;1;AU_AG;3.0;Brewery Creek Reserve Trend;MAIN;71
A286EBB1;1;AG_AU;50.0;Helen Zone;MAIN;41
A34636C2;1;AU_AG;1.0;Muir's Project;MAIN;18
A3769907;1;AU_AG;4.0;North Lake deposit;MAIN;66
A64511D8;1;AU_AG;10.0;Fosterville;MAIN;30
A7A69ABF;1;AU_AG;3.0;Brewery Creek;MAIN;66
AA2DF1BA;1;AU_AG;0.5;Borborema;MAIN;88
B109A2AD;1;AU_AG;0.47;Surselva;MAIN;45
B109A2AD;2;AU_AG;0.91;Surselva;MAIN;45
B109A2AD;3;AU_AG;3.76;Surselva;MAIN;45
B109A2AD;4;AU_AG;1.65;Surselva;MAIN;50
B109A2AD;5;AU_AG;2.0;Surselva;MAIN;52
B14BD2DA;1;AG_AU;1.7;Coringa;MAIN;68
B14BD2DA;2;CU_AU;172.0;Coringa;MAIN;68
B14BD2DA;3;PB_AU;996.0;Coringa;MAIN;68
B14BD2DA;4;ZN_AU;1595.0;Coringa;MAIN;68
B14BD2DA;5;AG_AU;3.35;Coringa;MAIN;68
B14BD2DA;6;CU_AU;125.0;Coringa;MAIN;68
B14BD2DA;7;PB_AU;343.0;Coringa;MAIN;68
B14BD2DA;8;ZN_AU;333.0;Coringa;MAIN;68
B14BD2DA;9;AG_AU;4.2;Coringa;MAIN;68
B14BD2DA;10;CU_AU;232.0;Coringa;MAIN;68
B14BD2DA;11;PB_AU;2700.0;Coringa;MAIN;68
B14BD2DA;12;ZN_AU;1845.0;Coringa;MAIN;68
B14BD2DA;13;AG_AU;0.4;Coringa;MAIN;68
B14BD2DA;14;CU_AU;17.0;Coringa;MAIN;68
B14BD2DA;15;PB_AU;220.0;Coringa;MAIN;68
B14BD2DA;16;ZN_AU;76.0;Coringa;MAIN;68
B1A42887;1;AU_AG;10.0;Fosterville;MAIN;41
B71D484D;1;AU_AG;0.5;Sleeping Giant Mine;MAIN;17
B82BC835;1;AU_AG;3.0;Brewery Creek Project;MAIN;71
C40FA5C9;1;AG_AU;0.74;Dolphin;MAIN;51
C7F84FF8;1;AU_AG;6.0;Bell Creek Complex;MAIN;25
CA66A9C6;1;AU_AG;1.0;North Stock;MAIN;53
CBBEF9F4;1;AU_AG;0.5;Sleeping Giant Mine;MAIN;17
CD570B87;1;AU_AG;1.0;Mineral Ridge;MAIN;63
CE5CDB4D;1;AU_AG;1.0;Gramalote Ridge;MAIN;31
CEBC60EF;1;AU_AG;20.0;Sigma-Lamaque;MAIN;117
7E9A60AF;1;AU_AG;1.0;Mineral Ridge;MAIN;52
81F1CA0D;1;AU_AG;3.0;Brewery Creek Project;MAIN;70
D645D0F0;1;AU_AG;10.0;Gold Bar North;MAIN;85
D87093B7;1;AU_AG;2.0;Riacho dos Machados;MAIN;49
DD275AB6;1;AU_AG;1.0;Dora;MAIN;47
DE27B6DA;1;AU_AG;9.82;Holy Terror Gold Project;MAIN;45
DE4BC606;1;AG_AU;1.7;Coringa;MAIN;55
DE4BC606;2;CU_AU;172.0;Coringa;MAIN;55
DE4BC606;3;PB_AU;996.0;Coringa;MAIN;55
DE4BC606;4;ZN_AU;1595.0;Coringa;MAIN;55
DE4BC606;5;AG_AU;3.35;Coringa;MAIN;55
DE4BC606;6;CU_AU;125.0;Coringa;MAIN;55
DE4BC606;7;PB_AU;343.0;Coringa;MAIN;55
DE4BC606;8;ZN_AU;333.0;Coringa;MAIN;55
DE4BC606;9;AG_AU;4.2;Coringa;MAIN;55
DE4BC606;10;CU_AU;232.0;Coringa;MAIN;55
DE4BC606;11;PB_AU;2700.0;Coringa;MAIN;55
DE4BC606;12;ZN_AU;1845.0;Coringa;MAIN;55
DE4BC606;13;AG_AU;0.4;Coringa;MAIN;55
DE4BC606;14;CU_AU;17.0;Coringa;MAIN;55
DE4BC606;15;PB_AU;220.0;Coringa;MAIN;55
DE4BC606;16;ZN_AU;76.0;Coringa;MAIN;55
E201A112;1;AG_AU;0.5;Riacho dos Machados;MAIN;50
EBFEE21F;1;AU_AG;0.2;Coffee;MAIN;53
EBFEE21F;2;AU_AG;0.077;Coffee;MAIN;53
F0E4420C;1;AU_AG;0.5;Borborema;MAIN;85
F18DC39A;1;AU_AG;4.0;Brookbank Deposit;MAIN;17|57
F34730EA;1;AU_AG;10.0;Drevniy;MAIN;28
F4740DAB;1;AU_AG;10.0;Fosterville;MAIN;38
F748F22F;1;AU_AG;5.0;True North;MAIN;49
046BD206;1;AU_AG;0.01;Main Zone;MAIN;27
06D8AEF3;1;AG_AU;225.0;Guanajuato Mine;MAIN;46
06D8AEF3;2;AG_AU;250.0;Guanajuato Mine;MAIN;46
06D8AEF3;3;AG_AU;275.0;Guanajuato Mine;MAIN;46
06D8AEF3;4;AG_AU;3.5;Guanajuato Mine;MAIN;46
109879D1;1;AU_AG;0.015625;El Cubo;MAIN;62
153B0FD8;1;AU_AG;0.0044;Guanajuato Mine;MAIN;49
153B0FD8;2;AU_AG;0.004;Guanajuato Mine;MAIN;49
153B0FD8;3;AU_AG;0.0036;Guanajuato Mine;MAIN;49
153B0FD8;4;AU_AG;0.2857;Guanajuato Mine;MAIN;49
1B475F9E;1;AU_AG;0.002;La Preciosa;MAIN;57
2302A68F;1;AU_AG;0.0044;Guanajuato Mine;MAIN;47
2302A68F;2;AU_AG;0.004;Guanajuato Mine;MAIN;47
2302A68F;3;AU_AG;0.0036;Guanajuato Mine;MAIN;47
2302A68F;4;AU_AG;0.2857;Guanajuato Mine;MAIN;47
288D2C3D;1;AG_AU;48.0;Queen Structure;MAIN;55
2957E15D;1;AU_AG;0.001;Martha;MAIN;26
29C562B1;1;AU_AG;0.015625;El Cubo;MAIN;54
431A790D;1;AG_AU;48.0;Mogollon District Veins;MAIN;75
45A8DF79;1;AG_PB;0.36;SGX Area;MAIN;22
45A8DF79;2;ZN_PB;0.74;SGX Area;MAIN;22
4EE12A65;1;AG_AU;150.0;Nivloc;MAIN;55
50B20583;1;AU_AG;0.01;Tonopah Camp;MAIN;38
51F9CC3A;1;AG_AU;225.0;Veta Madre;MAIN;53
51F9CC3A;2;AG_AU;250.0;Veta Madre;MAIN;53
51F9CC3A;3;AG_AU;275.0;Veta Madre;MAIN;53
51F9CC3A;4;AG_AU;3.5;Veta Madre;MAIN;53
52A18DBD;1;AU_AG;0.0044;Veta Madre;MAIN;43
52A18DBD;2;AU_AG;0.004;Veta Madre;MAIN;43
52A18DBD;3;AU_AG;0.286;Veta Madre;MAIN;43
526C65BD;1;AU_AG;0.0025;Candelaria;MAIN;47
575F47F3;1;AU_AG;0.0067;Palmarejo;MAIN;46
5F29A178;1;AU_AG;0.0044;Veta Madre;MAIN;23
5F29A178;2;AU_AG;0.004;Veta Madre;MAIN;23
5F29A178;3;AU_AG;0.0036;Veta Madre;MAIN;23
5F29A178;4;AU_AG;0.2857;Veta Madre;MAIN;23
61CC4A16;1;AG_AU;225.0;Veta Madre;MAIN;21
61CC4A16;2;AG_AU;250.0;Veta Madre;MAIN;21
61CC4A16;3;AG_AU;275.0;Veta Madre;MAIN;21
61CC4A16;4;AG_AU;3.5;Veta Madre;MAIN;21
73B835CA;1;AG_AU;225.0;Veta Madre;MAIN;67
73B835CA;2;AG_AU;250.0;Veta Madre;MAIN;67
73B835CA;3;AG_AU;275.0;Veta Madre;MAIN;67
73B835CA;4;AG_AU;3.5;Veta Madre;MAIN;67
722170EA;1;AU_AG;0.00014;Trinity;MAIN;43
758046AC;1;AU_AG;1.0;Santa Ana;MAIN;81
8014108F;1;AG_AU;581.0;La Preciosa;MAIN;24
80A19EB4;1;AG_AU;609.0;La Preciosa;MAIN;25
865EC94A;1;AG_CU;26.0;Galena mine complex;MAIN;32
865EC94A;2;AG_CU;27.5;Galena mine complex;MAIN;34
865EC94A;3;AG_PB;0.9;Galena mine complex;MAIN;34
87E39EC6;1;AG_AU;35.0;Cerro Punapuna;MAIN;30
87E39EC6;2;AG_AU;70.0;Cerro Punapuna;MAIN;30
87E39EC6;3;AG_AU;20.0;Cerro Punapuna;MAIN;30
87E39EC6;4;AG_AU;454.0;Cerro Punapuna;MAIN;37
87E39EC6;5;AG_AU;636.0;Cerro Punapuna;MAIN;37
8E1DB40A;1;AG_AU;225.0;Veta Madre;MAIN;42
8E1DB40A;2;AG_AU;250.0;Veta Madre;MAIN;42
8E1DB40A;3;AG_AU;275.0;Veta Madre;MAIN;42
8E1DB40A;4;AG_AU;3.5;Veta Madre;MAIN;42
8E2BF70A;1;AU_AG;0.00125;Joaquin;MAIN;26
8E2BF70A;2;AU_AG;0.1;Joaquin;MAIN;26
8F777DB1;1;AG_AU;150.0;Nivloc Vein;MAIN;63
8FFED014;1;AU_AG;0.01;San Miguel;MAIN;56
9130AE3B;1;AU_AG;0.01;Pearce Hill;MAIN;117
9130AE3B;2;AU_AG;0.05;Pearce Hill;MAIN;118
94862B1D;1;AG_AU;500.0;Hackberry;MAIN;47
95B8DD31;1;AU_AG;0.01;Tonopah West;MAIN;52
97F6E398;1;AG_AU;100.0;Trinidad deposit;MAIN;45
9C491D9A;1;AG_AU;400.0;Candelaria;MAIN;51
9C74240D;1;AU_AG;0.0067;Palmarejo;MAIN;46
9F12079E;1;AG_CU;26.0;Galena Mine Complex;MAIN;30
A007F06A;1;AU_AG;0.015625;El Cubo;MAIN;55
A4E16B89;1;AU_AG;0.001;Martha System;MAIN;26
AE892668;1;AG_AU;48.0;Mogollon Vein System;MAIN;56
BDE07C79;1;AG_AU;225.0;Guanajuato Mine;MAIN;47
BDE07C79;2;AG_AU;250.0;Guanajuato Mine;MAIN;47
BDE07C79;3;AG_AU;275.0;Guanajuato Mine;MAIN;47
BDE07C79;4;AG_AU;3.5;Guanajuato Mine;MAIN;47
C06D7BD0;1;AG_AU;109.0;Santa Cruz;MAIN;21
C44653FF;1;SB_CU;0.7;Galena Complex;MAIN;52
C6DFCB14;1;PB_ZN;0.8;San Felipe;MAIN;86
C6DFCB14;2;PB_ZN;0.6;San Felipe;MAIN;86
D6AC7610;1;AU_AG;0.002;La Preciosa;MAIN;84
D7086C57;1;ZN_PB;2.0;Greens Creek;MAIN;97
D91354DB;1;AG_AU;100.0;Trinidad;MAIN;45
DA04925F;1;AG_AU;100.0;Trinidad deposit;MAIN;44
DA69AFEB;1;AG_AU;225.0;Guanajuato Mine;MAIN;45
DA69AFEB;2;AG_AU;250.0;Guanajuato Mine;MAIN;45
DA69AFEB;3;AG_AU;275.0;Guanajuato Mine;MAIN;45
DA69AFEB;4;AG_AU;3.5;Guanajuato Mine;MAIN;45
DB4CC708;1;AG_AU;40.0;Silver Chalice;MAIN;18
DB4CC708;2;AG_AU;1200.0;Silver Chalice;MAIN;18
DF699786;1;AU_AG;0.0156;El Cubo;MAIN;74
E286629C;1;AG_AU;225.0;Veta Madre;MAIN;78
E286629C;2;AG_AU;250.0;Veta Madre;MAIN;78
E286629C;3;AG_AU;275.0;Veta Madre;MAIN;78
E286629C;4;AG_AU;3.5;Veta Madre;MAIN;78
E7FB2605;1;AG_AU;554.0;La Escondida Vein System;MAIN;25
EB41AC63;1;AG_AU;225.0;Guanajuato Mine;MAIN;58
EB41AC63;2;AG_AU;250.0;Guanajuato Mine;MAIN;58
EB41AC63;3;AG_AU;275.0;Guanajuato Mine;MAIN;58
EB41AC63;4;AG_AU;3.5;Guanajuato Mine;MAIN;58
EDA500D4;1;AU_AG;0.0044;Valenciana Mines Complex;MAIN;65
EDA500D4;2;AU_AG;0.004;Valenciana Mines Complex;MAIN;65
EDA500D4;3;AU_AG;0.0036;Valenciana Mines Complex;MAIN;65
EDA500D4;4;AU_AG;0.2857;Valenciana Mines Complex;MAIN;65
FB036D67;1;AU_AG;0.0044;Guanajuato Mine;MAIN;49
FB036D67;2;AU_AG;0.004;Guanajuato Mine;MAIN;49
FB036D67;3;AU_AG;0.0036;Guanajuato Mine;MAIN;49
FB036D67;4;AU_AG;0.2857;Guanajuato Mine;MAIN;49
FCD81FFC;1;AU_AG;0.0208;Mogollon District Veins;MAIN;53
0B5508B1;1;AU_CU;9.5e-05;Mazamorras;MAIN;37
0EA1B563;1;AG_AU;100.0;Espiritu Porphyry System;MAIN;28
140607B1;1;AU_CU;0.5;Valeriano;MAIN;53
140607B1;2;AU_CU;1.0;Valeriano;MAIN;53
16E5B84D;1;AU_CU;0.33;La Fortuna;MAIN;52
16E5B84D;2;AU_CU;1.0;La Fortuna;MAIN;52
16E5B84D;3;AU_CU;2.0;La Fortuna;MAIN;52
1B830ECB;1;AU_CU;1.0;Western Porphyries;MAIN;64
23EB0062;1;LA_YB;5.0;Lansdowne House Igneous Complex;MAIN;74|96
23EB0062;2;LA_YB;11.0;Lansdowne House Igneous Complex;MAIN;72|99
256FDE04;1;AU_AG;2.0;Mount Milligan;MAIN;83
256FDE04;2;AU_CU;1.0;Mount Milligan;MAIN;92
28784297;1;AU_CU;2.0;Central Zone;MAIN;138
28784297;2;AU_CU;0.5;Hugo North gold zone;MAIN;145
2A99EB42;1;AU_CU;0.5;Hugo Dummett;MAIN;159
2BF77B51;1;LA_YB;5.0;Lansdowne House Igneous Complex;MAIN;74|96
2BF77B51;2;LA_YB;11.0;Lansdowne House Igneous Complex;MAIN;72|99
3AB0BC78;1;AU_CU;0.33;La Fortuna;MAIN;52
3AB0BC78;2;AU_CU;1.0;La Fortuna;MAIN;52
3AB0BC78;3;AU_CU;2.0;La Fortuna;MAIN;52
04A302F6;1;RB_SR;0.223;Cannivan Gulch;MAIN;21
0766109B;1;AU_AG;0.4;Topacio Vein System;MAIN;17
08A73147;1;AU_AG;1.0;Vein Zone;MAIN;29
09CE0318;1;PD_PT;5.0;No. 2 Ni showing;MAIN;30
0A84B78A;1;AU_AG;10.0;San Juan veins;MAIN;59
0ACC5BBB;1;AU_AG;0.11;Atlanta Mine;MAIN;25
0BF5C28B;1;PT_PD;4.0;Gulçari A;MAIN;31
10463E22;1;AU_AG;10.0;East Manhattan Project;MAIN;13
104F4913;1;AU_AG;0.2;Graben;MAIN;80
10E39468;1;TA2O5_NB2O5;4.0;Marropino;MAIN;105
10E39468;2;TA2O5_NB2O5;3.0;Marropino;MAIN;105
10E39468;3;TA2O5_NB2O5;3.51;Marropino;MAIN;105
10E39468;4;TA2O5_NB2O5;5.9;Marropino;MAIN;105
1110CA54;1;MG_LI;2.6;Salinas Grandes;MAIN;59
1110CA54;2;SO4_LI;7.3;Salinas Grandes;MAIN;59
11D44AF8;1;AU_AG;0.056;Molejón;MAIN;57
171B1106;1;NI_CU;0.8;Mystery;MAIN;66
17E71F9F;1;CR_FE;2.0;Big Daddy;MAIN;56
18DEE579;1;LREO_HREO;24.0;Sarfartoq REE;MAIN;37
18DEE579;2;LREO_HREO;40.0;Sarfartoq REE;MAIN;37
18DEE579;3;LREO_HREO;52.0;Sarfartoq REE;MAIN;37
18DEE579;4;LA_ND;0.38;Sarfartoq REE;MAIN;37
18DEE579;5;LA_ND;1.06;Sarfartoq REE;MAIN;37
18DEE579;6;LA_ND;2.31;Sarfartoq REE;MAIN;37
18D42717;1;AU_AG;1.0;Fruta del Norte;MAIN;65
18D42717;2;AU_AG;0.1;Fruta del Norte;MAIN;65
1B5D0FA2;1;CR_FE;2.0;Big Daddy;MAIN;53
27E23882;1;AU_AG;0.0059;Santa Lucia North;MAIN;33
27E23882;2;AU_AG;0.0012;Santa Lucia North;MAIN;40
27E23882;3;AU_AG;0.0101;Santa Lucia North;MAIN;50
2D894716;1;AU_AG;0.0294;San José Zone;MAIN;30
3144C8FB;1;K_RB;20.0;Chubb;MAIN;55
32171EDF;1;CR_FE;2.0;Big Daddy;MAIN;56
338815FD;1;AU_AG;0.00667;Palmarejo;MAIN;56
364075B4;1;AG_AU;1.7;Coringa;MAIN;70
364075B4;2;CU_AU;172.0;Coringa;MAIN;70
364075B4;3;PB_AU;996.0;Coringa;MAIN;70
364075B4;4;ZN_AU;1595.0;Coringa;MAIN;70
364075B4;5;AG_AU;3.35;Coringa;MAIN;70
364075B4;6;CU_AU;125.0;Coringa;MAIN;70
364075B4;7;PB_AU;343.0;Coringa;MAIN;70
364075B4;8;ZN_AU;333.0;Coringa;MAIN;70
364075B4;9;AG_AU;4.2;Coringa;MAIN;70
364075B4;10;CU_AU;232.0;Coringa;MAIN;70
364075B4;11;PB_AU;2700.0;Coringa;MAIN;70
364075B4;12;ZN_AU;1845.0;Coringa;MAIN;70
364075B4;13;AG_AU;0.4;Coringa;MAIN;70
364075B4;14;CU_AU;17.0;Coringa;MAIN;70
364075B4;15;PB_AU;220.0;Coringa;MAIN;70
364075B4;16;ZN_AU;76.0;Coringa;MAIN;70
366C4134;1;AG_AU;2.0;Santa Maria vein system;MAIN;17
3B29874E;1;AG_AU;7.0;Charlotte Vein System;MAIN;42
3B29874E;2;AG_AU;3.0;Charlotte Vein System;MAIN;42
3B29874E;3;AG_AU;50.0;Charlotte Vein System;MAIN;42
3D769D3A;1;CU_AU;2.4;Pine Grove;MAIN;32
43044FD1;1;CU_AU;5821.0;Big Kidd Breccia;MAIN;20
4321C418;1;AU_AG;2.57;El Zancudo;MAIN;44
44D10935;1;AG_AU;8.0;Šturec;MAIN;39
4820F8E9;1;CR_FE;2.2;Blackbird deposits;MAIN;49
4B700DD3;1;CU_NI;3.0;Thierry deposit;MAIN;31
4B700DD3;2;CU_NI;8.0;Thierry deposit;MAIN;34
4B700DD3;3;CU_NI;2.0;Thierry deposit;MAIN;34
4B9ACD89;1;AU_AG;0.016;El Creston;MAIN;42
4B9ACD89;2;AU_AG;0.147;El Creston;MAIN;42
4CD384BB;1;AU_AG;4.5;Rocmec 1;MAIN;33
4CD384BB;2;AU_AG;4.5;Rocmec 1;MAIN;39
4DAC653D;1;AU_AG;0.222;Orosi;MAIN;61
5394FE2A;1;AU_AG;0.5;Sleeping Giant Mine;MAIN;17
5604DE16;1;CR2O3_FEO;3.0;Target 1;MAIN;32
58D18899;1;PT_PD;4.0;Gulçari A;MAIN;59
58F0383D;1;AU_CU;1.0;Taysan Copper-Gold Deposit;MAIN;72
5B0F6022;1;NI_CO;3.0;Nkamouna;MAIN;63|64
5B0F6022;2;NI_CO;2.3;Nkamouna;MAIN;63
5B0F6022;3;NI_CO;6.3;Nkamouna;MAIN;63
5B0F6022;4;NI_CO;8.1;Nkamouna;MAIN;63
5D6E947F;1;AU_AG;0.0067;Palmarejo;MAIN;45
616F5B1A;1;CU_NI;1.3;Norton Zone;MAIN;40
616F5B1A;2;PD_PT;6.0;Norton Zone;MAIN;40
61BB88E9;1;MO_CU;0.15;Mocoa;MAIN;32
698D9636;1;AU_AG;2.6;Northumberland;MAIN;43
69D8AAEE;1;NI_CU;0.8;Puimajuq;MAIN;26
6A689039;1;NI_CU;0.8;Allammaq Deposit;MAIN;31
6CC70D44;1;AU_AG;0.05;Calandria Sur;MAIN;28
6E0E4155;1;CU_NI;14.5;Marathon PGM-Cu deposit;MAIN;58
6E0E4155;2;PD_PT;2.99;Marathon PGM-Cu deposit;MAIN;58
6F94257F;1;AU_AG;0.0067;Palmarejo;MAIN;55
70681CDD;1;AU_AG;0.067;El Zapote;MAIN;29
7142AE09;1;NI_CO;3.0;Nkamouna;MAIN;58|59
7142AE09;2;NI_CO;6.3;Nkamouna;MAIN;58
7142AE09;3;NI_CO;8.1;Nkamouna;MAIN;58
768ADE26;1;AG_AU;65.0;Summit Mine;MAIN;35
768ADE26;2;AG_AU;90.0;Summit Mine;MAIN;35
768ADE26;3;AG_AU;45.0;Summit Mine;MAIN;35
768ADE26;4;AG_AU;30.0;Summit Mine;MAIN;35
76F79B3B;1;AU_CU;0.5;Hugo North Extension;MAIN;99
775641DD;1;AU_AG;0.1;Zaca deposit;MAIN;38
775641DD;2;AU_AG;0.04;Zaca deposit;MAIN;38
775641DD;3;AU_AG;0.005;Zaca deposit;MAIN;38
7EA9F9C8;1;AU_CU;1.0;Rovina;MAIN;90
009E0E02;1;ZN_PB;35.0;Empire State Mines;MAIN;52
00A1F635;1;CU_CO;0.5;Nama;MAIN;33
01995397;1;MG_LI;6.53;Salar de Maricunga Brine;MAIN;63
01995397;2;K_LI;7.23;Salar de Maricunga Brine;MAIN;63
01995397;4;SO4_LI;0.64;Salar de Maricunga Brine;MAIN;65
01995397;5;SO4_MG;0.097;Salar de Maricunga Brine;MAIN;65
01995397;6;CA_LI;9.5;Salar de Maricunga Brine;MAIN;65
03D67450;1;NI_CU;4.0;Greenland Norite Belt;MAIN;64
03D67450;2;NI_CU;14.0;Greenland Norite Belt;MAIN;64
03D67450;3;NI_CO;30.0;Greenland Norite Belt;MAIN;64
03D67450;4;NI_CO;32.3;Greenland Norite Belt;MAIN;64
04F6F424;1;MG_LI;6.55;Salar de Maricunga;MAIN;90
04F6F424;2;CA_LI;12.04;Salar de Maricunga;MAIN;90
04F6F424;3;K_LI;7.35;Salar de Maricunga;MAIN;90
068E29DE;1;MG_LI;3.0;Terra Cotta Project;MAIN;35
068E29DE;2;MG_LI;10.0;Terra Cotta Project;MAIN;35
06AEBD77;1;MG_LI;3.3;Salar de Pozuelos;MAIN;58
0709CC79;1;TH_U;0.25;Etango;MAIN;60
0960013A;1;MG_LI;5.0;Salar Incahuasi;MAIN;48
0C431B4C;1;MG_LI;6.55;Salar de Maricunga;MAIN;94|96
0C431B4C;2;CA_LI;12.04;Salar de Maricunga;MAIN;94
0C431B4C;3;K_LI;7.35;Salar de Maricunga;MAIN;94|96
0C431B4C;4;SO4_LI;0.64;Salar de Maricunga;MAIN;96
0C431B4C;5;SO4_MG;0.097;Salar de Maricunga;MAIN;96
0C431B4C;6;CA_LI;9.5;Salar de Maricunga;MAIN;96
0CA3F165;1;CA_P2O5;1.5;Makatea;MAIN;38|40
1278190C;1;V2O5_U3O8;5.25;La Sal Project;MAIN;34
180DE2C3;1;CU_NI;14.5;Marathon Deposit;MAIN;151
180DE2C3;2;PD_PT;2.99;Marathon Deposit;MAIN;151
183758FF;1;MG_LI;8.0;Salar de Pastos Grandes;MAIN;55
183758FF;2;K_LI;11.0;Salar de Pastos Grandes;MAIN;55
18BF480C;1;NI_CU;2.0;Kenbridge Deposit;MAIN;89
191D3FEB;1;MG_LI;1.66;3Q Salar;MAIN;82
191D3FEB;2;SO4_LI;0.49;3Q Salar;MAIN;82
1C3D1080;1;ZN_PB;1.0;El Mochito;MAIN;66
