pdf_hash;alteration_id;alteration_type;alteration_timing;alteration_minerals;alteration_intensity;target_name;target_role;evidence_pages;alteration_type_src;alteration_minerals_src
CCDD8792;3;PHY;SYN;SER|QTZ;2;Cariboo Gold Project;MAIN;146|150;source;source
CCDD8792;4;CAZ;SYN;SER;2;Cariboo Gold Project;MAIN;146|150;source;codified
CCDD8792;5;ARG;PST;ILL|SME;N/A;Cariboo Gold Project;MAIN;146|147;source;source
DAE236F6;1;POT;SYN;BIO|ALB;1;Natougou;MAIN;73|80;codified;codified
DAE236F6;2;POT;SYN;BIO|ALB;2;Natougou;MAIN;73|80;codified;codified
DAE236F6;3;POT;SYN;BIO|ALB;3;Natougou;MAIN;73|80;codified;codified
DAE236F6;4;SCS;SYN;QTZ|SER;N/A;Natougou;MAIN;73|80;source;source
E9B4DA19;1;PHY;UNK;PYR|SER;3;Touquoy;MAIN;37|38;source;source
E9B4DA19;2;CAZ;UNK;ANK|CAC;3;Touquoy;MAIN;37|39;source;source
F07F0539;1;ARG;PST;KAO|QTZ;N/A;Betze-Post;MAIN;53|57;source;source
F07F0539;2;SIL;SYN;QTZ;N/A;Betze-Post;MAIN;53|57;source;source
F07F0539;3;ARG;SYN;ILL|QTZ;N/A;Betze-Post;MAIN;53;source;source
F07F0539;4;CAZ;PRE;CAC|DLM;N/A;Betze-Post;MAIN;53;codified;inferred_from_type
F07F0539;5;PHY;PRE;SER;N/A;Betze-Post;MAIN;53;source;source
834A4A8A;1;SIL;UNK;QTZ;N/A;Samira;MAIN;17;source;source
0F38B052;1;PHY;UNK;SER;N/A;Agbaou;MAIN;26;source;source
0F38B052;2;CAZ;UNK;CAC;N/A;Agbaou;MAIN;26;source;codified
20818BCD;1;SIL;UNK;QTZ;N/A;Elvenei;MAIN;26|27|37;source;source
20818BCD;2;PHY;UNK;SER|PYR;N/A;Elvenei;MAIN;26|27;source;source
20818BCD;3;CHL;UNK;CLO;N/A;Elvenei;MAIN;26;codified;source
20818BCD;4;CAZ;UNK;CAC;N/A;Elvenei;MAIN;27|37;source;source
2E40B925;1;PRO;PRE;CLO|EPD|CAC;N/A;Sorowar;MAIN;34;source;inferred_from_type
2E40B925;3;ARG;SYN;CLY|PYR;N/A;Sorowar;MAIN;32|41;source;codified
2E40B925;4;POT;SYN;BIO|KSP;N/A;Sorowar;MAIN;43;source;inferred_from_type
2E40B925;5;CAS;SYN;QTZ|CAC|PYR;N/A;Sorowar;MAIN;39|40;source;codified
4001F43E;1;PHY;UNK;CAC|MUS|PYR|QTZ;3;Bissa;MAIN;41|47;source;codified
4001F43E;2;PRO;UNK;CLO|EPD;N/A;Bissa;MAIN;41;source;source
664AF00F;1;SCS;SYN;QTZ|SER|PYR;3;Island Gold Zone;MAIN;54|58|59;source;source
664AF00F;2;CAS;SYN;QTZ|CAC;4;Island Gold Zone;MAIN;54;source;codified
664AF00F;3;ALZ;SYN;ALB;4;Island Gold Zone;MAIN;54|58;source;source
664AF00F;4;TUR;SYN;TUR;N/A;Island Gold Zone;MAIN;58|59;codified;source
664AF00F;5;PHY;SYN;SER;2;Island Gold Zone;MAIN;59;source;source
664AF00F;6;CAZ;SYN;CAC;2;Island Gold Zone;MAIN;59;source;codified
772AF4A8;1;PHY;PRE;QTZ|SER|PYR|CLO|CAC;3;Uzboy;MAIN;20|26|27|30;source;codified
772AF4A8;2;PRO;PRE;CLO|EPD|CAC;N/A;Uzboy;MAIN;26;source;inferred_from_type
772AF4A8;3;SIL;SYN;QTZ;3;Uzboy;MAIN;20|26|27;source;source
772AF4A8;4;CAZ;SYN;CAC;N/A;Uzboy;MAIN;27;source;codified
772AF4A8;5;FEO;PRE;MAG|HEM;N/A;Uzboy;MAIN;27;codified;source
772AF4A8;6;PHY;PRE;QTZ|HEM|PYR|SER|CLO|ANK|CPY;N/A;Uzboy;MAIN;28;inferred_from_minerals;source
8E2502C1;1;SIL;UNK;QTZ;4;Marudi Property;MAIN;21|24;source;source
9D87D5E4;1;SIL;UNK;QTZ|LIM;3;Redrock;MAIN;52;source;source
9D87D5E4;2;SIL;UNK;JSP;N/A;Redrock;MAIN;51;source;source
ACECE34B;1;PRO;UNK;QTZ|KSP|SER|EPD|CLO|PYR;N/A;Stephen Lake Stock;MAIN;33;inferred_from_minerals;codified
C1C45B8C;1;PHY;UNK;SER;2;Tiriganiaq;MAIN;47;source;source
C1C45B8C;2;POT;UNK;BIO;N/A;Tiriganiaq;MAIN;47;source;source
D9B74825;1;CAZ;SYN;DLM|MGN|TAL|TRE|QTZ|CAC;3;Yellowjacket Zone;MAIN;23|25|33|34;source;codified
D9B74825;2;SIL;SYN;QTZ|PYR;4;Yellowjacket Zone;MAIN;24|25|28|29|34;source;source
D9B74825;3;LIS;SYN;QTZ|MAR|PYR;3;Yellowjacket Zone;MAIN;24|25|26|33|34;codified;codified
D9B74825;4;PHY;SYN;SER|PYR|CAC;N/A;Yellowjacket Zone;MAIN;25|33|34;source;source
E8AE8CD8;1;PRO;SYN;EPD;1;Jean-Gobelé;MAIN;25|36;source;source
E8AE8CD8;2;PRO;SYN;CLO;3;Jean-Gobelé;MAIN;25|36;source;source
E8AE8CD8;3;PHY;SYN;CLO|SER|PYR;N/A;Jean-Gobelé;MAIN;36;source;source
F6ECFE72;1;SIL;SYN;QTZ;3;Tucano;MAIN;74|78;source;inferred_from_type
633DD464;1;PHY;UNK;QTZ|SER|PYR;N/A;Esaase Gold Deposit;MAIN;36;source;source
633DD464;2;CAZ;UNK;CAC;4;Esaase Gold Deposit;MAIN;36;source;codified
C84466C0;1;SKZ;SYN;DPS|GAR|FLU|ZOI|QTZ|HBL|WOL|CAC|MUS|BIO|CLO|TRE|ALB|EPD;3;Sangdong;MAIN;52|53|54;source;codified
DCEA8E11;1;SIL;SYN;QTZ;N/A;Parbec deposit;MAIN;29;source;source
DCEA8E11;2;PRO;SYN;CLO;N/A;Parbec deposit;MAIN;29;source;source
DCEA8E11;3;POT;SYN;BIO;4;Parbec deposit;MAIN;29|39;source;source
DCEA8E11;4;PHY;SYN;SER;N/A;Parbec deposit;MAIN;29|32;source;source
DCEA8E11;5;ALZ;SYN;ALB;3;Parbec deposit;MAIN;39;source;source
DCEA8E11;6;PRO;SYN;CAC|CLO;N/A;Parbec deposit;MAIN;39;source;codified
FCA2A22A;1;POT;SYN;BIO|KSP;4;Stratiform Manganese Deposits;MAIN;66;source;inferred_from_type
FCA2A22A;2;CAS;PST;CAC|QTZ;N/A;Stratiform Manganese Deposits;MAIN;63|66|67;source;source
7C209994;1;CAZ;PRE;DLM;N/A;Rupice;MAIN;64|67;codified;source
7C209994;2;SIL;UNK;PYR|QTZ;N/A;Rupice;MAIN;59;source;source
7C209994;3;CAZ;SYN;ANK;N/A;Rupice;MAIN;59;source;source
070004F2;1;AAH;UNK;QTZ|CHD|ALN|DIC|KAO|ILL|MUS|PYF;N/A;Chelopech;MAIN;54|55|58;source;codified
070004F2;2;PHY;UNK;QTZ|SER;N/A;Chelopech;MAIN;54|55;source;source
070004F2;3;PRO;UNK;CLO|EPD|CAC;N/A;Chelopech;MAIN;54|55;source;inferred_from_type
070004F2;4;ARG;UNK;KAO|ILL;N/A;Chelopech;MAIN;55;source;inferred_from_type
87133BE3;1;SIL;UNK;QTZ|MAG;3;New Liberty;MAIN;65|71;source;source
B97652A4;1;SCS;SYN;QTZ|SER|PYR|BIO|CAC;N/A;Island Gold;MAIN;74|90;source;codified
C536FA47;1;SIL;UNK;QTZ|ALB|BIO|CLO;3;Antenna;MAIN;63;source;source
C536FA47;2;ALZ;UNK;QTZ|ALB|BIO|CLO;3;Antenna;MAIN;63;source;source
C536FA47;4;CAZ;UNK;SER|ANK|CAC;N/A;Antenna;MAIN;63;source;source
C536FA47;5;CAZ;UNK;CAC|MAG;N/A;Antenna;MAIN;63;source;codified
0E07E1B2;1;ARG;UNK;KAO|ILL|SME;N/A;Bigar Hill;MAIN;56|62|65;source;source
0E07E1B2;2;DCB;UNK;N/A;N/A;Bigar Hill;MAIN;56|62|65;codified;N/A
0E07E1B2;3;SIL;UNK;QTZ;N/A;Bigar Hill;MAIN;65;source;source
37CEB943;1;PRO;UNK;CLO|EPD|CAC;N/A;Avino Vein;MAIN;52;source;inferred_from_type
37CEB943;2;ARG;UNK;ALN|SME;N/A;Avino Vein;MAIN;52;source;source
37CEB943;3;SIL;UNK;QTZ;N/A;Avino Vein;MAIN;52;source;inferred_from_type
D08CA9F8;1;CAZ;UNK;CAC;1;Illinois Creek deposit;MAIN;50;source;codified
D08CA9F8;2;ARG;UNK;CLY;1;Illinois Creek deposit;MAIN;50;source;codified
D08CA9F8;3;PRO;UNK;CLO|EPD|CAC;1;Illinois Creek deposit;MAIN;50;source;inferred_from_type
56CB96EA;1;AAH;PST;KAO|ILL|SME;N/A;Lihir;MAIN;70|73|77|78;source;source
56CB96EA;2;ARG;PST;KAO|ILL|SME;N/A;Lihir;MAIN;70|73|77|78;source;source
56CB96EA;3;POT;SYN;ADS|PYR|ILL;N/A;Lihir;MAIN;70|73;source;source
56CB96EA;4;POT;PRE;BIO|KSP|ANH|CAC|QTZ;N/A;Lihir;MAIN;70|73;source;source
56CB96EA;5;PRO;PRE;CLO;N/A;Lihir;MAIN;73|76|78;source;source
411C394B;1;SIL;SYN;QTZ|PYR|POH|ASP;N/A;Adumbi;MAIN;96|101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117;source;source
C2786F94;1;ALZ;PRE;ALB|QTZ|CAC;3;Yalea;MAIN;73;source;codified
C2786F94;2;PHY;SYN;CLO|SER;N/A;Yalea;MAIN;73;source;codified
01572953;1;CAZ;SYN;ANK|SID;N/A;Waterpump Creek;MAIN;89;source;source
01572953;2;CAZ;SYN;CAC;N/A;Waterpump Creek;MAIN;89;source;source
F35C4D59;1;PRO;UNK;CAC|CLO;N/A;Cameron gold deposit;MAIN;57;source;codified
F35C4D59;2;PHY;SYN;CAC|SER;4;Cameron gold deposit;MAIN;57;source;codified
F35C4D59;3;PHY;SYN;CAC|SER|PYR;4;Cameron gold deposit;MAIN;57;source;codified
F35C4D59;4;SCS;SYN;ANK|SER|QTZ|ALB|PYR;4;Cameron gold deposit;MAIN;57;source;source
F35C4D59;5;PRO;PST;CAC|CLO;N/A;Cameron gold deposit;MAIN;61;source;codified
FE7D05AB;1;CAZ;PRE;DLM;N/A;Rupice;MAIN;64|67;source;source
FE7D05AB;2;SIL;UNK;PYR|QTZ;N/A;Rupice;MAIN;59;source;source
FE7D05AB;3;CAZ;SYN;ANK;N/A;Rupice;MAIN;59;source;source
824DAC89;1;SKZ;SYN;PYR|POH|CPY|MAG;N/A;Mont Ity;MAIN;63|68;source;source
824DAC89;2;RET;PST;CLO|TRE;N/A;Mont Ity;MAIN;68;source;source
A0BBE8E8;1;CAZ;PRE;CAC|DLM;N/A;MacLellan;MAIN;67|71;source;inferred_from_type
A0BBE8E8;2;POT;SYN;BIO|QTZ;N/A;MacLellan;MAIN;67|71;source;source
29C81FCF;1;POT;UNK;CAC|CLO|SER|KSP|HEM;N/A;Kamoa-Kakula;MAIN;79|97;source;codified
521FAF13;1;SCS;PRE;QTZ|CAC|SER;N/A;KCD;MAIN;59|61|65;codified;source
521FAF13;2;CAZ;SYN;ANK|SID|QTZ|MAG|PYR|POH|ASP;3;KCD;MAIN;59|60|61|65;source;source
D88A1001;1;POT;SYN;KSP|MAG|BIO;3;Golpu;MAIN;25|26;source;source
D88A1001;2;PRO;SYN;ACT|BIO|MAG|KSP|ALB|EPD|CLO|RUT;N/A;Golpu;MAIN;25;source;codified
D88A1001;3;PHY;PST;CLO|SER;N/A;Golpu;MAIN;26;source;source
B1616B6B;1;PHY;SYN;SER|QTZ|CAC|ANK|CLO|PYR;N/A;Hammerdown;MAIN;127|151;source;source
0D6DB6DB;1;PHY;UNK;MICU|QTZ;3;PAK Deposit;MAIN;78;source;codified
1325D1F5;2;PHY;UNK;QTZ|ALB|SER|CLO;N/A;Antenna;MAIN;47;source;source
1325D1F5;3;PHY;UNK;SER|ANK|CAC;N/A;Antenna;MAIN;47;source;source
1325D1F5;4;CAZ;UNK;CAC|MAG;N/A;Antenna;MAIN;47;source;codified
13DF74CC;2;CAZ;UNK;ANK;N/A;Rosebel;MAIN;80|93;source;source
2582F5BA;1;POT;SYN;BIO|KSP|MAG;4;Aurora;MAIN;38|39|40|41;source;source
2582F5BA;2;ARG;PST;SME|ILL|CLO|PYR;2;Aurora;MAIN;38|39|40|41;source;source
2582F5BA;3;SCS;SYN;QTZ|SER|PYR;N/A;Aurora;MAIN;38|39|40|42;source;source
2582F5BA;4;GRS;SYN;MUS|QTZ|FLU;N/A;Aurora;MAIN;42;source;source
677E8CBF;1;CAZ;SYN;DLM|CAC;1;Waterpump Creek;MAIN;64|73;source;source
E8647371;1;POT;SYN;BIO|KSP|MAG;N/A;Copper Mountain;MAIN;71|75;source;source
E8647371;2;ALZ;PRE;ALB|DPS|EPD|SCP;N/A;Copper Mountain;MAIN;71;source;codified
E8647371;3;PRO;SYN;CLO|ACT|CAC|PYR|EPD;N/A;Copper Mountain;MAIN;71;source;source
E8647371;4;ARG;PST;KAO|SER|CLO|CAC|PYR|QTZ|EPD;N/A;Copper Mountain;MAIN;72;source;source
18CB7D7A;1;POT;PRE;BIO|MAG|EPD|KSP;1;Apollo;MAIN;69|70|80;source;source
18CB7D7A;2;PRO;UNK;CLO|EPD|MAG|CAC;N/A;Apollo;MAIN;69|71;source;source
18CB7D7A;4;PHY;SYN;SER;3;Apollo;MAIN;69|72;source;source
18CB7D7A;5;ARG;SYN;ILL|SER|KAO;3;Apollo;MAIN;69|80;source;source
00152F71;1;PHY;UNK;SER|QTZ|CLO|BIO|GAR;N/A;Turmalina;MAIN;33|39;source;source
002FAB5B;1;DCB;UNK;N/A;3;Ice prospect;MAIN;25|26;codified;N/A
002FAB5B;2;SIL;UNK;QTZ|CHD;3;Ice prospect;MAIN;25|26;source;source
002FAB5B;3;ARG;UNK;KAO|ILL;3;Ice prospect;MAIN;25;source;inferred_from_type
002FAB5B;6;CAZ;UNK;CAC;3;Ice prospect;MAIN;25;source;source
003AE947;1;ARG;UNK;FUC|MAR|ILL;N/A;Bralorne-Pioneer;MAIN;40;inferred_from_minerals;codified
003AE947;2;SPT;UNK;SRP|TAL|TRE|CAC;N/A;Bralorne-Pioneer;MAIN;35;codified;codified
0060BD8A;1;ARG;UNK;CLY;N/A;Main Shear Zone;MAIN;16;source;codified
0060BD8A;2;PHY;UNK;SER;N/A;Main Shear Zone;MAIN;16;source;source
00182970;1;POT;PRE;CAC|BIO;4;Red Lake-Campbell Complex;MAIN;59;source;codified
00182970;2;SIL;PRE;ASI;N/A;Red Lake-Campbell Complex;MAIN;59;source;codified
00182970;3;CAZ;PRE;DLM|ANK|CLO;N/A;Red Lake-Campbell Complex;MAIN;59;source;source
00182970;4;SCS;SYN;QTZ|SER|COR;N/A;Red Lake-Campbell Complex;MAIN;59;source;codified
00182970;5;POT;SYN;BIO|TUR;N/A;Red Lake-Campbell Complex;MAIN;59;source;source
01A515BC;1;SIL;SYN;QTZ;3;Wona-Kona;MAIN;21|22|23;source;source
01A515BC;2;CAZ;SYN;SID|DLM;4;Wona-Kona;MAIN;23;source;codified
01A515BC;3;PHY;UNK;CHL|SER;N/A;Wona-Kona;MAIN;23;source;codified
00F4C6A7;1;SIL;SYN;QTZ|POH|ASP|CPY|CAC;N/A;Pilar;MAIN;75|80|84;source;codified
00FCBB2D;1;SIL;UNK;QTZ;N/A;Fenelon;MAIN;52;source;source
00FCBB2D;3;SCS;UNK;QTZ|SER;N/A;Fenelon;MAIN;57;source;source
00FCBB2D;5;POT;UNK;KSP;N/A;Fenelon;MAIN;61;source;source
00FCBB2D;6;CAZ;UNK;HEM;N/A;Fenelon;MAIN;61;source;codified
01C81C7E;1;SKZ;UNK;GAR|QTZ;N/A;Kwandege;MAIN;27|28;codified;source
01CE8F0B;1;SIL;SYN;QTZ;4;Bantou;MAIN;45|50|54|59;source;source
01CE8F0B;2;FEO;SYN;HEM;1;Bantou;MAIN;45|50|54;codified;source
01D4C2DE;2;SIL;SYN;QTZ;N/A;Mazoa Hill Zone;MAIN;21;source;inferred_from_type
01A94018;2;SIL;UNK;QTZ;N/A;Bonanza Ledge;MAIN;47;source;source
01A94018;3;PHY;PRE;QTZ|SID|MUS;N/A;Bonanza Ledge;MAIN;48;source;source
02147C90;1;CAZ;UNK;CAC|DLM;N/A;Opawica;MAIN;18;source;inferred_from_type
027C740E;1;SIL;UNK;PYR|POH;3;Apomakisie (Randy);MAIN;49;source;source
027C740E;2;ARG;UNK;KAO|LIM;N/A;Apomakisie (Randy);MAIN;60;source;source
027C740E;3;CAZ;UNK;QTZ|CAC;1;Apomakisie (Randy);MAIN;47;source;codified
029A004A;1;CAZ;UNK;ANK|FUC;N/A;Pamour;MAIN;153|154|156;source;source
029A004A;2;PHY;UNK;SER|ALB|QTZ|PYR|ASP|SPH|GAL|ANK;4;Pamour;MAIN;153|154;source;source
029A004A;3;PHY;UNK;SER|ALB;2;Pamour;MAIN;156;source;source
029A004A;4;PRO;UNK;CLO|ANK|ALB|QTZ|SER|PYR;N/A;Pamour;MAIN;154;source;source
032AC653;1;PHY;UNK;SER|QTZ|PYR;N/A;Jau prospect;MAIN;22;source;source
02A093E0;1;PRO;SYN;CLO|HEM;N/A;Coringa;MAIN;65|73;source;source
02A093E0;2;PHY;SYN;SER|PYR;4;Coringa;MAIN;65|72|73;source;source
02A093E0;3;CAZ;SYN;CAC;N/A;Coringa;MAIN;65;source;source
0336D2AC;1;PHY;SYN;SER|CLO|PYR;3;Turnberry;MAIN;28|33|34;source;codified
0336D2AC;2;PRO;SYN;BIO|CLO;N/A;Turnberry;MAIN;33;source;source
03430331;1;PHY;SYN;SER|CLO|QTZ|ANK|ALB|TUR|PYR;N/A;Main Zone;MAIN;54|55;inferred_from_minerals;source
03497A9B;1;POT;PRE;CLO|HEM|KSP;3;Central;MAIN;79|96;source;source
03497A9B;2;SCS;SYN;QTZ|PYR|SER|ALB|CLO|KSP|HEM|CAC;3;Central;MAIN;74|96;source;codified
040010B9;1;PHY;SYN;SER|MUS|HEM|CLO|QTZ|KSP|CAC|FLU|PYR;3;Dingman;MAIN;42|43;source;codified
041313E5;1;SIL;UNK;QTZ;N/A;Windfall;MAIN;20|36;source;source
041313E5;2;PHY;UNK;SER;4;Windfall;MAIN;20|36;source;source
041313E5;3;PRO;UNK;EPD|CLO;N/A;Windfall;MAIN;20;source;source
041313E5;5;PRO;UNK;CLO|PYR;3;Windfall;MAIN;28;source;source
03E5E738;1;PHY;SYN;ALB|ANK|SER|QTZ|PYR;N/A;True North deposit;MAIN;72|69;inferred_from_minerals;source
03E5E738;3;PRO;SYN;CLO|CAC;N/A;True North deposit;MAIN;72|69;source;source
03E5E738;4;PHY;UNK;ANK|SER;N/A;True North deposit;MAIN;72;source;source
03E5E738;5;SFD;SYN;PYR;N/A;True North deposit;MAIN;72;codified;source
041A6F51;1;SKZ;PRE;GAR|AMPH|QTZ|POH|CPY|PYR|MAG;N/A;Otjikoto;MAIN;33|35|38;source;codified
041A6F51;2;ALZ;PRE;ALB;3;Otjikoto;MAIN;35|38;source;inferred_from_type
041A6F51;4;CAZ;UNK;DLM|CAC|ANK|SID|PYR;N/A;Otjikoto;MAIN;38;source;source
044F99B5;1;PHY;SYN;QTZ|MUS|CLO|SID|CAC;N/A;Riacho dos Machados;MAIN;45|47;source;source
044F99B5;2;SIL;UNK;QTZ;N/A;Riacho dos Machados;MAIN;41;source;inferred_from_type
044F99B5;3;PHY;UNK;SER;N/A;Riacho dos Machados;MAIN;41;source;source
