pdf_hash;deposit_id;tectonic_setting;pathfinder_elements;deposit_type;target_name;target_role;evidence_pages
AE63D9BE;1;TGGT;N/A;ORO;Roça Grande;MAIN;50|61|67
B433B884;1;TGGT;AS;ORO;Adumbi;MAIN;54|55|74|76
BD896B47;1;TORO;AG|HG|BI|TE|MO|SB|BA|PB;ORO|EPTL;VG Deposit;MAIN;39|45|46|47
C3803153;1;TORO;AS|PB;ORO;San Francisco;MAIN;59|66|68
CCDD8792;1;TORO;N/A;ORO;Cariboo Gold Project;MAIN;121|125|149
D347FEC7;1;TARC;N/A;ORO|EPTL|EPTI|EPTH|PRY;Copeçal;MAIN;58|62|68|71|79
DAE236F6;1;TGGT;AS|S;ORO;Natougou;MAIN;59|71|79|80
E1585FA5;1;TGGT;AS|SB;ORO;Turmalina Mine;MAIN;43|45|50|51
E9B4DA19;1;TORO;N/A;ORO;Touquoy;MAIN;29|39|40
F07F0539;1;TORO;HG|CR|ZN|CU|SB|TL|AS|BA;CAR;Betze-Post;MAIN;49|58|68
FE225BC3;1;TARC;AS;ORO;Copeçal;MAIN;40|48|52|63
834A4A8A;1;TGGT;AS|SB;ORO;Samira;MAIN;12|13|14|17
0F38B052;1;TGGT;N/A;ORO;Agbaou;MAIN;24|25|26
20818BCD;1;TARC;AS|SB|AG|W|BI|CU|ZN;EPTH;Elvenei;MAIN;20|22|26
2E40B925;1;TARC;AG;EPG;Sorowar;MAIN;32|34|35|43
4001F43E;1;TORO;N/A;ORO;Bissa;MAIN;34|40
55429E2C;1;TARC;N/A;ORO;Bingo;MAIN;22|40|43
664AF00F;1;TGGT;N/A;ORO;Island Gold Zone;MAIN;47|49|52
772AF4A8;1;TORO;N/A;ORO;Uzboy;MAIN;20|23|26
8E2502C1;1;TORO;N/A;ORO;Marudi Property;MAIN;25|26
9D87D5E4;1;TRFT;SB|AS|TL|HG;CAR;Redrock;MAIN;42|52|60|61|64
ACECE34B;1;TGGT;N/A;ORO;Stephen Lake Stock;MAIN;24|29|32|33
C1C45B8C;1;TGGT;AS;ORO;Tiriganiaq;MAIN;27|45|47
D9B74825;1;TORO;N/A;ORO;Yellowjacket Zone;MAIN;21|33
E8AE8CD8;1;TGGT;N/A;ORO;Jean-Gobelé;MAIN;23|36
F6ECFE72;1;TGGT;N/A;ORO;Tucano;MAIN;68|83
633DD464;1;TGGT;N/A;ORO;Esaase Gold Deposit;MAIN;31|38
56C9C0D0;1;TBAC;N/A;VMS;Canoe Landing Lake;MAIN;30|37
C84466C0;1;TORO;N/A;SKN;Sangdong;MAIN;44|58
DCEA8E11;1;TGGT;AG|AS|CU|S|W;ORO;Parbec deposit;MAIN;26|30|32|38
FCA2A22A;1;TRFT;N/A;N/A;Stratiform Manganese Deposits;MAIN;58|61|66
7C209994;1;TRFT;PB;MAN|BXH;Rupice;MAIN;54|64|65|66|67|73
070004F2;1;TARC;CU|AS|AG|TE|PB|ZN|MN|TL|SB|BI|W;EPTH|PRY|BXH;Chelopech;MAIN;49|58|59
87133BE3;1;TGGT;N/A;ORO;New Liberty;MAIN;57|58|60|72
B97652A4;1;TGGT;N/A;ORO;Island Gold;MAIN;71|74|90
C536FA47;1;TGGT;N/A;ORO;Antenna;MAIN;59|70
0E07E1B2;1;TARC;AS|HG|TL|S|SB;CAR|MAN;Bigar Hill;MAIN;44|55|65|67
37CEB943;1;TARC;N/A;EPTI|PRY|BXH;Avino Vein;MAIN;49|50|51|55
D08CA9F8;1;TPAB;CU|PB|ZN|AG|SB|AS|MN;MAN;Illinois Creek deposit;MAIN;43|49|57|58
56CB96EA;1;TARC;N/A;EPTL|PRY;Lihir;MAIN;66|70|79
0BE662C0;1;TARC;N/A;LAT;Agata Nickel Laterite Project (ANLP);MAIN;34|38|39|40
411C394B;1;TGGT;AG|AS|BI|HG|PB|W;ORO;Adumbi;MAIN;85|134|144
B19547C4;1;TGGT;N/A;ORO;Rowan Vein System;MAIN;54|68|60
C2786F94;1;TORO;N/A;ORO;Yalea;MAIN;68|84
01572953;1;TORO;PB|ZN|AG|SB|MN|AS;MAN;Waterpump Creek;MAIN;58|59|73|93|98
F35C4D59;1;TGGT;N/A;ORO|PRY|BXH;Cameron gold deposit;MAIN;44|45|58|70|71|72
FE7D05AB;1;TORO;PB;MAN|BXH;Rupice;MAIN;54|64|65|66|67|73
824DAC89;1;TORO;N/A;SKN;Mont Ity;MAIN;60|61|62|67|68
A0BBE8E8;1;TORO;N/A;ORO;MacLellan;MAIN;64|74
29C81FCF;1;TRFT;N/A;SSC;Kamoa-Kakula;MAIN;77|94|95
521FAF13;1;TORO;N/A;ORO;KCD;MAIN;54|62|74
D88A1001;1;TORO;N/A;PRY;Golpu;MAIN;20|29|30
B1616B6B;1;TORO;N/A;ORO;Hammerdown;MAIN;120|149|150|154
0D6DB6DB;1;TGGT;CS|V|LI|RB|GA|TA|NB;PEG;PAK Deposit;MAIN;67|68|82|85|86
1325D1F5;1;TGGT;N/A;ORO;Antenna;MAIN;43|58
04FCB237;1;TCRA;N/A;STRA;PSM Project;MAIN;94|110
13DF74CC;1;TGGT;N/A;ORO;Rosebel;MAIN;73|86
2582F5BA;1;TARC;CU|MO|AG;PRY;Aurora;MAIN;36|43|44|46
677E8CBF;1;TORO;PB|ZN|AG|AS|SB|MN;MAN;Waterpump Creek;MAIN;49|50|60|75|80
E8647371;1;TARC;N/A;PRY;Copper Mountain;MAIN;63|64|75
18CB7D7A;1;TARC;BI|W|AS|SN|TE;PRY|IRG|BXH|EPTI;Apollo;MAIN;58|61|62|63|73|75|78|79|80|86|88
00152F71;1;TGGT;N/A;ORO;Turmalina;MAIN;33|39
002FAB5B;1;TUNK;AS|HG|SB|TL|MO|W|SE|V|PB|BI|TE;CAR;Ice prospect;MAIN;17|25|26|29|32|37
003AE947;1;TORO;N/A;ORO;Bralorne-Pioneer;MAIN;33|43
0060BD8A;1;TUNK;N/A;ORO;Main Shear Zone;MAIN;16|18
00182970;1;TGGT;N/A;ORO;Red Lake-Campbell Complex;MAIN;54|67|68
00C4C85B;1;TORO;AS;ORO;Divide prospect;MAIN;14|17
011575D4;1;TGGT;N/A;ORO;Dome Property;MAIN;25|30
01A515BC;1;TGGT;N/A;ORO;Wona-Kona;MAIN;21|22
0147858E;1;TUNK;AG|AS|SB|CU|ZN|PB|W;ORO;Daniel's Creek;MAIN;19|20|21
00F4C6A7;1;TGGT;N/A;ORO;Pilar;MAIN;55|84
00FCBB2D;1;TGGT;N/A;ORO;Fenelon;MAIN;43|63|64
01C81C7E;1;TORO;N/A;ORO;Kwandege;MAIN;24|27|35|64
01CE8F0B;1;TGGT;N/A;MIX;Bantou;MAIN;35|37|59
01D4C2DE;1;TORO;N/A;N/A;Mazoa Hill Zone;MAIN;19|22|23
01A94018;1;TORO;AS;ORO;Bonanza Ledge;MAIN;40|43|50|59|62
02147C90;1;TGGT;N/A;ORO|PRY;Opawica;MAIN;13|17
029CFB33;1;TORO;N/A;PLC;Sainsoutou alluvial gold deposit;MAIN;51|52|54
027C740E;1;TORO;N/A;ORO;Apomakisie (Randy);MAIN;40|42|47|51|52|67|68|73
029A004A;1;TORO;S|FE|ZN|PB|AS;ORO;Pamour;MAIN;117|154|155|156|162
032AC653;1;TUNK;N/A;N/A;Jau prospect;MAIN;22|24
02A093E0;1;TCRA;N/A;ORO;Coringa;MAIN;57|58|78|79|81
0336D2AC;1;TGGT;AS;ORO;Turnberry;MAIN;25|30|33|34
033B0EC7;1;TGGT;N/A;ORO;Kiena Deep A Zone;MAIN;116|155
0398B964;1;TGGT;N/A;ORO;Sabodala deposit;MAIN;70|71
03430331;1;TORO;N/A;ORO;Main Zone;MAIN;49|51|56
03497A9B;1;TORO;N/A;ORO;Central;MAIN;64|107|108
040010B9;1;TORO;K|S;ORO;Dingman;MAIN;36|44|45
041313E5;1;TORO;N/A;ORO|VMS;Windfall;MAIN;19|20|21|28|36
03E5E738;1;TGGT;N/A;ORO;True North deposit;MAIN;64|72|75
041A6F51;1;TORO;N/A;ORO|SKN;Otjikoto;MAIN;26|32|33|34|36
044F99B5;1;TORO;AS;ORO;Riacho dos Machados;MAIN;40|41|48|50
0464602C;1;TGGT;AS;ORO;Cléopâtre showing;MAIN;7|9
044475BA;1;TGGT;K|BA|AS;ORO;Hardrock deposit;MAIN;115|123|137|138
04546B27;1;TORO;N/A;ORO;Assafou;MAIN;137|167|168|150
04761DD7;1;TORO;N/A;ORO;Jeesio property;MAIN;14|17|20|21
049DA365;1;TARC;N/A;EPTI|BXH;Taunus;MAIN;32|35|37
04B21BC1;1;TARC;N/A;ORO;Ridge Zone;MAIN;19|22
04B0BFA3;1;TGGT;AS;ORO;Main Stripped Zone;MAIN;13|18|21
04B86048;1;TGGT;N/A;ORO;Bombore;MAIN;88|112
04F33E01;1;TGGT;N/A;PRY;Canadian Malartic;MAIN;44|50|51
04C5563D;1;TORO;BI|AS|SB|AG|PB|ZN|CU|MO;PRY|SKN;Cerro de Oro;MAIN;46|53|57|58
04D722E3;1;TGGT;N/A;ORO;Gordon-Ven Lake;MAIN;42|46
052FD466;1;TORO;N/A;ORO;Hammerdown;MAIN;28|40
0527E792;1;TGGT;N/A;PRY|BXH;Fayolle deposit;MAIN;40|53|54
05419167;1;TGGT;N/A;ORO;Granada;MAIN;50|63
05151973;1;TORO;CO|BI|SE|AG|U|W|F;IOC|LAT;Fortnum Gold Project;MAIN;53|56|63|64
0573AFD8;1;TGGT;N/A;ORO;Colomac Main;MAIN;68|73|102
062C08C1;1;TORO;AG|AS;ORO;Touquoy;MAIN;83|86|103|106
0630C490;1;TRFT;AS|SB|HG|TL;CAR;Granite Creek;MAIN;56|68|74
0613D036;1;TGGT;N/A;ORO;Diabarou;MAIN;24|28
05C53A75;1;TUNK;AS|HG|SB|TL;CAR;Osiris cluster;MAIN;31|40|54|55
0645D8D4;1;TGGT;AG|AS|BI|HG|PB|TH|W;ORO;Adumbi;MAIN;58|84|95
0695EA16;1;TGGT;K;ORO;Solona;MAIN;22|26|28|34
06950BED;1;TGGT;N/A;ORO;Madsen;MAIN;53|84
06C30B18;1;TGGT;N/A;ORO;Paddy's Flat;MAIN;80|100
0710EF8D;1;TGGT;N/A;PLC;Beatons Creek;MAIN;49|63
07095F68;1;TORO;N/A;ORO;Magdala;MAIN;41|55
0723F78A;1;TGGT;AS;ORO;Turnberry;MAIN;23|29|33|34
06D32B92;1;TGGT;N/A;ORO|PRY;Moss Lake deposit;MAIN;30|32|35
0789F8E0;1;TORO;BI|TE;ORO;Trident;MAIN;39|41|50
0728AACE;1;TRFT;AS|SB|BA|FE|HG|S|ZN;CAR;Gold Rock;MAIN;29|45
0736472B;1;TORO;AS|AG|PB|ZN|CU;ORO;Idaho-Maryland Deposit;MAIN;107|111
081D24CD;1;TGGT;N/A;ORO;Great Fingall;MAIN;68|71|83
07EA6630;1;TGGT;AS|K|BA;ORO;Hardrock deposit;MAIN;115|123|137|138
082DBCC0;1;TRFT;V|CU|AS|P;EPTL;Main Gold Zone;MAIN;30
0839F995;1;TGGT;N/A;ORO;Antenna;MAIN;35|44
08672ADB;1;TORO;N/A;ORO;Zone IV;MAIN;18|21
0842E5D2;1;TGGT;N/A;ORO;Magino;MAIN;44|47|58
085F4CC2;1;TUNK;AS|CO|CU|FE|MN|PB|SB;IRG;Jethro Structure;MAIN;13|15|17
084BA32A;1;TORO;N/A;ORO;El Huacal District;MAIN;59|62|68|69|75
08D54B6A;1;TARC;N/A;IRG;Brew Project;MAIN;12|13
088BAB7A;1;TGGT;N/A;ORO;Golden Horseshoe Reef;MAIN;22|31
09033720;1;TGGT;N/A;ORO;Wona-Kona;MAIN;29|31
08E407A0;1;TGGT;N/A;ORO;A8 3200 vein system;MAIN;29|37|38
094023F6;1;TARC;N/A;ORO;Pine Cove Mine;MAIN;55|61|89
095529B3;1;TORO;BI|TE;IRG;Tay-LP;MAIN;18|24|25
0965B1B3;1;TORO;BI;ORO|IRG;Batman;MAIN;71|73|76
096E99E8;1;N/A;N/A;EPTI;Imperial;MAIN;52|56
0987FD5B;1;TORO;CU|CO|AS;ORO;Little Stull Lake;MAIN;54|55|66
09F70DBA;1;TGGT;N/A;ORO;West Branch;MAIN;48|66
0A06CB49;1;TORO;N/A;ORO;Thor Trend;MAIN;20|22|26|28|37
0A29219A;1;TORO;N/A;ORO;Cachoeira;MAIN;28|33
0A4EC8A6;1;TORO;N/A;PLC;Gilbert River Placer;MAIN;74|83
0A5EE568;1;N/A;N/A;MIX;Imperial Gold Deposit;MAIN;53|57
0A783087;1;TGGT;CU|MO;ORO;Posse;MAIN;48|49|51
0A6DB12A;1;TORO;N/A;ORO;Marathon;MAIN;60|73
0AA90EBC;1;TGGT;AS;ORO|PRY;Anatacau Project;MAIN;15|16|21|25
0B7EB4D0;1;TGGT;N/A;ORO;Buckreef Prospect;MAIN;25|28
0B05B43E;1;TGGT;AS;ORO;EMZ;MAIN;86|109|110
0BABAA77;1;TRFT;HG|SB|K|MO|AG;EPTL;Gold Road Mine;MAIN;38|49|55|56
0B016195;1;TORO;AS|SB|W;ORO;Burnakura;MAIN;57|59
0C01BBE0;1;TORO;AS|SB;ORO;3 Aces;MAIN;20|28|29|30
0C314901;1;TGGT;N/A;ORO|IRG;Nelligan;MAIN;36|46|47
0BB1A012;1;TGGT;N/A;ORO;O'Brien Project;MAIN;54|57|68
0C44E46A;1;TARC;N/A;ORO;Main Structural Corridor (MSC);MAIN;22|24|25
0CA19FF7;1;TGGT;N/A;ORO;Hislop Property;MAIN;18|22
0CA3FEC4;1;TGGT;N/A;ORO;Kofi C;MAIN;20|24|37
0CB5C5C9;1;TORO;N/A;ORO;KCD;MAIN;51|58|70
0CEB7E63;1;TGGT;N/A;ORO;Esaase;MAIN;27|35
0D0DF078;1;TORO;N/A;ORO;Herbert Veins;MAIN;19|21|22
0CC855EB;1;TORO;AG|SB|AS|HG|TL|BA;CAR;Gold Pick;MAIN;39|49|52|53|54|55|58
0D138A33;1;TGGT;N/A;ORO;BT deposit;MAIN;21|27
0D1BA604;1;TORO;SB;ORO;Havelock Project;MAIN;40|41|47|48
0DBC95C9;1;TORO;BI|AS|CU;ORO|IRG;Batman deposit;MAIN;87|89|90|93
0D46872E;1;TRFT;N/A;ORO;Meadowbank deposits;MAIN;12|13|49|50|56|57
0E09DB1B;1;TGGT;N/A;ORO;Monique Gold Zones;MAIN;21|30
0E182762;1;TORO;AS;ORO;Gatsuurt;MAIN;65|84|86|89
0E681B6E;1;TGGT;N/A;ORO;Kiryan;MAIN;29|30|38|41
0EC27446;1;TGGT;N/A;ORO;Masato;MAIN;31|45
0E3A1F62;1;TGGT;N/A;ORO;Goose Site;MAIN;60|65|75
0F4CC9B9;1;TORO;BI|TE|AS|W;IRG;Santo Antonio;MAIN;26|29|35
0F6F8EB9;1;TORO;AS|HG|TL|S|SB;CAR;Bigar Hill;MAIN;32|49|55|57
0F7248E2;1;TGGT;N/A;ORO;Lafigue;MAIN;73|79
0F825C4A;1;TGGT;N/A;ORO;Youga;MAIN;86|99
0FD3508E;1;TORO;N/A;ORO;Morro do Ouro;MAIN;33|43
0F8AE956;1;TORO;AS|SB|HG;CAR;Gold Quarry;MAIN;81|89|115
0FB9B301;1;TGGT;N/A;PRY;Canadian Malartic;MAIN;30|34
0FE25F31;1;TGGT;N/A;ORO;Lac Herbin;MAIN;20|25|27
104A5E9E;1;TGGT;N/A;ORO;Lacoma;MAIN;22|28
104F165D;1;TGGT;N/A;N/A;Sissingué;MAIN;78|334|336
10B0ED67;1;TORO;AG|AS|SB|BI|CU;ORO;Raven;MAIN;12|18|19|21|35
10D8F3A3;1;TGGT;N/A;ORO|BXH;Zone Est;MAIN;23|27|28
10D4734D;1;TARC;AS;ORO;New Britannia Mine;MAIN;66|70|79
112BAE17;1;TGGT;N/A;ORO;Island Gold;MAIN;68|71|87
116130B5;1;TBAC;ZN|CU|AG;ORO;Omega Group;MAIN;28|29
11873F4A;1;TORO;N/A;ORO|BXH;Butiá;MAIN;22|23|31|33|34
11661848;1;TGGT;N/A;ORO;Venice Complex;MAIN;32|40|42|52
11E61ECF;1;TORO;AS|SB|W|HG|TE;ORO;Lone Star;MAIN;40|53|56
11B1508F;1;TRFT;BI|TE|CO;ORO;Rajapalot;MAIN;17|22|26|27|29|30
11BABB77;1;TGGT;N/A;ORO;Douay East;MAIN;37|42|47
119A11D5;1;TORO;N/A;ORO;Fifteen Mile Stream;MAIN;42|57
12322F42;1;TORO;N/A;BXH;White Mountain;MAIN;13
11EE97BD;1;TORO;MO|PB;ORO;Golden Saddle;MAIN;42|57|60
1228157A;1;TGGT;N/A;ORO;Tabakoto Deposit;MAIN;56|95|96
125F6C94;1;TPAB;S|AS|SB|CU|ZN|PB;EPTL;Cristina;MAIN;41|49|50|58
12AC17AA;1;TGGT;AS;N/A;Kona South;MAIN;17|18|22|23|24
1262CB45;1;TGGT;N/A;IRG;Kao;MAIN;21|27
12D0B97D;1;TGGT;N/A;ORO;Makosa;MAIN;16|18|20
12F3C89C;1;TRFT;AS|HG|SB;CAR|EPG;AMAX Area;MAIN;18|19|26
134FCCD2;1;TGGT;N/A;ORO;Wassa;MAIN;37|46|48
1339F97C;1;TGGT;N/A;ORO;Detour Lake and West Detour;MAIN;60|75
138A9603;1;TORO;AG|HG|BI|TE|MO|SB|BA|PB;ORO;Golden Saddle;MAIN;42|55|57|60
13CCF8B6;1;TORO;BI|W|AS|SN|MO|TE|SB;IRG;Twangiza;MAIN;39
13EA550C;1;TGGT;N/A;ORO;Antenna deposit;MAIN;30|34
13FE50E7;1;TORO;N/A;PRY|EPTL;Butia;MAIN;50|51|52|53|54|63
14148DAC;1;TGGT;N/A;ORO;Douay West;MAIN;40|45
149016FB;1;TGGT;AS|SB;ORO;Faina;MAIN;51|54|60|63|64|71
14160ED1;1;TGGT;AS;ORO|LAT|PLC;Kobada;MAIN;98|99|122
14DE3D9A;1;TGGT;N/A;ORO;Asuogya;MAIN;17|22
14BDF6F7;1;TRFT;AG|AS|SB|HG;CAR;Pinson;MAIN;43|60|61
14E5F379;1;TRFT;AS|SB|HG|TL|W|AG|BA|ZN|PB;CAR;Star Lake;MAIN;26|35|37|39|41|43
14D7CA01;1;TORO;AS|SB|W;ORO;Queensway Project;MAIN;84|93|116
14FE1F17;1;TGGT;N/A;ORO;RZ;MAIN;35|39
15AF8D4C;1;TGGT;N/A;ORO;Triangle Deposit;MAIN;21|66|86|87
158B14EB;1;TGGT;N/A;ORO;Zone 2;MAIN;34|37
159672F0;1;TORO;N/A;ORO;Rattling Brook Gold Deposit;MAIN;47|58
15D04CB0;1;TGGT;PB;ORO;DAC Deposit;MAIN;37
15CB45F5;1;TGGT;N/A;ORO;Pitt Gold;MAIN;22|23|25
15E968D0;1;TGGT;N/A;ORO;Linkwood;MAIN;18|23
15D484D9;1;TRFT;AS|SB|HG;EPTL;Reward;MAIN;47|48|56|58
16AC2F72;1;TRFT;AS|HG|SB|TL|BA|ZN;CAR;Lookout Mountain;MAIN;43|56|62|68
16683AD0;1;TORO;N/A;ORO;Tabakoroni;MAIN;19|20|22
16BBCB94;1;TORO;N/A;N/A;Big Hill;MAIN;39|43|45
16C7BB46;1;TORO;N/A;ORO;Kone;MAIN;56|57|59|88
1737DA07;1;TGGT;N/A;ORO;Island Zone;MAIN;58|61|62
16ECE394;1;TORO;N/A;ORO;Chaminé;MAIN;48|49
16D979D3;1;TGGT;CU|AS|TE|PB|W|ZN|SB;IRG;Duparquet;MAIN;51|52|66|67|68
17E27C66;1;TARC;N/A;EPTH|EPTL|ORO;Jefferson Gold Project;MAIN;25|34
17DC7EE4;1;TBAC;N/A;ORO;Omega;MAIN;28|29
17EF89A8;1;TGGT;N/A;ORO;Storø;MAIN;31|32
17DA2760;1;TARC;N/A;EPTH;Amulsar;MAIN;24|25|27|33
181BF1B6;1;TGGT;AS;ORO;Dubenski Gold Deposit;MAIN;23|30|31
17F98519;1;TGGT;N/A;ORO;Golouma West;MAIN;29|43
1866E001;1;TGGT;N/A;ORO;Doropo Deposits;MAIN;19|28
182BC15E;1;TGGT;N/A;ORO;Timmins West Mine;MAIN;44|69
18821E32;1;TORO;N/A;ORO;Choco 10;MAIN;51|58
18B8525E;1;TARC;N/A;IRG;Tocantinzinho;MAIN;26|34
1905889A;1;TGGT;N/A;ORO;Netiana;MAIN;80|93
19BC2616;1;TORO;N/A;ORO;Table Mountain Vein Systems;MAIN;29|37
1A09A6C5;1;TORO;N/A;ORO;Flordin deposit;MAIN;28|30|37
1A0EC604;1;TGGT;N/A;ORO;Douay West;MAIN;43|46
1A1956D4;1;TCRA;AS|HG|SB;CAR;Jinfeng;MAIN;22|24|26|27
1A1CA32E;1;TGGT;N/A;ORO|PLC;Kobada;MAIN;35|37|40|41
1A6CFF70;1;TORO;N/A;ORO;North Lake deposit;MAIN;74|88
1A7B38F8;1;TORO;AS|BI|W|CU|MO;ORO;Nalunaq;MAIN;47|60|65|66
1A7C389B;1;TGGT;N/A;ORO|PLC;Goingoindougou;MAIN;32|36|49
1A8140D3;1;TARC;N/A;ORO;Bellechasse-Timmins deposit;MAIN;24|30
1AC556B7;1;TGGT;N/A;ORO;Gourbassi West;MAIN;50|51|63|75
1B737743;1;TORO;CU|AS|PB|ZN;ORO;Borborema deposit;MAIN;73|89|91
1B2900EE;1;TGGT;N/A;ORO;Bomboré;MAIN;33|36|43
1B76BEA9;1;TGGT;N/A;ORO;Donchester Mine;MAIN;21|28
1B999829;1;TORO;N/A;ORO|BXH;Marudi Property;MAIN;31|32|35
1B84EA2F;1;TGGT;N/A;ORO;Nkran;MAIN;75|89|90
1BBCE5C2;1;TORO;AS|SB|W;ORO;Mosquito Hill;MAIN;72|83|84
1BEAFCFB;1;TGGT;N/A;ORO;55 Zone;MAIN;24|33
1BC9BB63;1;TORO;AS;ORO;Taurus Deposit;MAIN;25|28|32
1BFE7520;1;TGGT;AS;ORO;Mankarga 5;MAIN;46|48|52|54|63|65|66
1BEE6489;1;TGGT;AS;N/A;Frankfield East Deposit;MAIN;38|43|45
1C01C09B;1;TGGT;AS;ORO;Pilar;MAIN;49|64|66
1C5D0682;1;TGGT;N/A;ORO;Tassawini;MAIN;28|34
1C3385F6;1;TORO|TGGT;N/A;ORO;Choco 10;MAIN;47|49|57
1C08D521;1;TARC;AS;ORO;Massawa;MAIN;63|64|73|92
1CD9BB53;1;TGGT;AS;ORO;Mt Clifford;MAIN;78|92|132
1CA3A079;1;N/A;AS|HG|SB|TL;CAR;Long Canyon;MAIN;40
1CAE0FC0;1;TPAB;AS|SB|CU|ZN|PB|AG|HG;CAR|EPTL|SKN;Santa Gertrudis;MAIN;53|60|64|69|70
1CEBFF59;1;TORO;N/A;ORO;Oko Main Zone;MAIN;83
1D25010B;1;TGGT;K|RB|AS|S;ORO;Natougou;MAIN;25|34|36|38
1D754D16;1;TRFT;AS|SB|HG|BA|ZN|W;CAR;Easy Junior;MAIN;29|35|36|39
1D2D184E;1;TGGT;N/A;ORO;Paciência Mining Complex;MAIN;47
188135F4;1;TGGT;N/A;ORO;Francoeur Deposit;MAIN;19|25
1D9455F0;1;TRFT;N/A;CAR|EPTL;Pan Project;MAIN;40|46
1DAEC218;1;TORO;W|BI|TE;ORO|SKN;Björkdal;MAIN;50|61|73
1DB78EE7;1;TGGT;AS|BI|CU|HG|K|MO|SB|TE|V|W|ZN;ORO;Hemlo;MAIN;64|68|70|71
1DD36FDF;1;TUNK;AG|AS|SB|HG|TL|BA|W|SE;CAR;Gold Pick;MAIN;4|53|56|60
1DFA2C0F;1;TORO;N/A;ORO;Apankrah;MAIN;31|36|38
1E022488;1;TGGT;AS;ORO;Orenada;MAIN;81|82|92|102|103
1E0A2A78;1;TGGT;N/A;ORO;Detour Lake;MAIN;90|107
1E11A67B;1;TGGT;N/A;ORO;Madsen Deposit;MAIN;43|44|74
1E1F8F66;1;TORO;AS|SB;ORO;Mankouke South;MAIN;56|59|68|76
1E40059D;1;TGGT;AS|BA|CR|HG|MO|SB;ORO;Baritic Zone;MAIN;30|36|39|40
1E319B80;1;TORO;B|W|AS|SB|SE|TE|BI|MO|CU|PB|ZN;ORO;Malikoundi;MAIN;51|62|65
1E75A335;1;TGGT;N/A;IRG|PRY|BXH;Côté Gold deposit;MAIN;158|183|185
1E769595;1;TGGT;N/A;ORO;Posse;MAIN;32|35
1E99CAC7;1;TGGT;N/A;ORO;Paiol;MAIN;42|46
1EA4BB1E;1;TORO;N/A;ORO;São Vicente;MAIN;29|32|37
1ED86FA6;1;TGGT;N/A;ORO;Eagle River;MAIN;22|29
1EB76791;1;TORO;BI|W|TE|MO|AS|CU|SB|PB|ZN|AG;IRG;Sergeevskoe;MAIN;47|49
1EE33807;1;TGGT;N/A;ORO;HBJ;MAIN;38|39|40|42|44|50
1EF43E4D;1;TARC;N/A;ORO;San Juan Vein Swarm;MAIN;41|44|53|56
1F0751C3;1;TRFT;N/A;EPTL;Florida Canyon Mine;MAIN;41|46
1F0EE9E9;1;TORO;N/A;ORO;Carolin Mine;MAIN;41|43
