pdf_hash;survey_id;survey_class;geophysics_type;target_name;target_role;evidence_pages
041A6F51;3;GPH;EM;Otjikoto;MAIN;39|40
041A6F51;4;GPH;GMAG;Otjikoto;MAIN;39
041A6F51;5;GPH;IP;Otjikoto;MAIN;38|40
0464602C;1;GPH;IP;Cléopâtre showing;MAIN;10
0464602C;2;GPH;AMAG;Cléopâtre showing;MAIN;12
044475BA;1;GPH;IP;Hardrock deposit;MAIN;150
04546B27;1;GPH;GMAG;Assafou;MAIN;170|174
04546B27;2;GPH;GRV;Assafou;MAIN;170|174
04546B27;3;GPH;IP;Assafou;MAIN;170|174|175
04546B27;4;GPH;MT;Assafou;MAIN;170|175
04546B27;5;GPH;RAD;Assafou;MAIN;170|176
04546B27;6;GPH;AMAG;Assafou;MAIN;176
04761DD7;1;GPH;AMAG;Jeesio property;MAIN;22
04761DD7;2;GPH;EM;Jeesio property;MAIN;22
04761DD7;3;GPH;RAD;Jeesio property;MAIN;22
04B0BFA3;1;GPH;GMAG;Main Stripped Zone;MAIN;13
04B0BFA3;2;GPH;IP;Main Stripped Zone;MAIN;13
04B0BFA3;3;GPH;AMAG;Main Stripped Zone;MAIN;13|22
04B86048;1;GPH;IP;Bombore;MAIN;115|121
04B86048;3;GPH;RES;Bombore;MAIN;116|117|118|123
04B86048;4;GPH;AMAG;Bombore;MAIN;117|118
04B86048;5;GPH;RAD;Bombore;MAIN;117|118
04B86048;6;GPH;GRV;Bombore;MAIN;121
04D722E3;1;GPH;IP;Gordon-Ven Lake;MAIN;51|52|53|57|62
04D722E3;2;GPH;GMAG;Gordon-Ven Lake;MAIN;51|53|54|57
04D722E3;3;GPH;RES;Gordon-Ven Lake;MAIN;51|68|69
0527E792;1;GPH;AMAG;Fayolle deposit;MAIN;57
0527E792;2;GPH;EM;Fayolle deposit;MAIN;57
05419167;1;GPH;UNS;Granada;MAIN;56
05419167;2;GPH;SWIR;Granada;MAIN;64
05151973;1;GPH;AMAG;Fortnum Gold Project;MAIN;68
05151973;2;GPH;GRV;Fortnum Gold Project;MAIN;68
0573AFD8;1;GPH;AMAG;Colomac Main;MAIN;104
0573AFD8;2;GPH;VLF;Colomac Main;MAIN;104
0573AFD8;3;GPH;IP;Colomac Main;MAIN;104|105|109
0573AFD8;4;GPH;GMAG;Colomac Main;MAIN;105|107
0573AFD8;6;GPH;GRV;Colomac Main;MAIN;107
0630C490;1;GPH;GRV;Granite Creek;MAIN;77
0630C490;2;GPH;AMAG;Granite Creek;MAIN;77
0630C490;3;GPH;GMAG;Granite Creek;MAIN;77
0630C490;4;GPH;IP;Granite Creek;MAIN;77
0630C490;5;GPH;EM;Granite Creek;MAIN;77
0630C490;6;GPH;MT;Granite Creek;MAIN;77|79
0613D036;1;GPH;AMAG;Diabarou;MAIN;20|30|31
0613D036;2;GPH;RAD;Diabarou;MAIN;20|30|31
0613D036;3;GPH;EM;Diabarou;MAIN;20
05C53A75;1;GPH;AMAG;Osiris cluster;MAIN;62
05C53A75;2;GPH;EM;Osiris cluster;MAIN;62
0645D8D4;1;GPH;AMAG;Adumbi;MAIN;88
0645D8D4;2;GPH;RAD;Adumbi;MAIN;88
0645D8D4;3;GPH;IP;Adumbi;MAIN;106
0695EA16;1;GPH;AMAG;Solona;MAIN;34
0695EA16;2;GPH;RAD;Solona;MAIN;34
0695EA16;3;GPH;GMAG;Solona;MAIN;36
06950BED;1;GPH;AMAG;Madsen;MAIN;89|90
06C30B18;1;GPH;AMAG;Paddy's Flat;MAIN;106
06C30B18;2;GPH;GRV;Paddy's Flat;MAIN;106
0710EF8D;1;GPH;UNS;Beatons Creek;MAIN;65
07095F68;1;GPH;AMAG;Magdala;MAIN;68|69
07095F68;2;GPH;GRV;Magdala;MAIN;68|70
07095F68;3;GPH;IP;Magdala;MAIN;69
0723F78A;1;GPH;AMAG;Turnberry;MAIN;36
0723F78A;2;GPH;RAD;Turnberry;MAIN;36
06D32B92;1;GPH;VLF;Moss Lake deposit;MAIN;43
06D32B92;2;GPH;GMAG;Moss Lake deposit;MAIN;43
06D32B92;3;GPH;IP;Moss Lake deposit;MAIN;43
0789F8E0;1;GPH;IP;Trident;MAIN;51
0789F8E0;2;GPH;AMAG;Trident;MAIN;51|53
0728AACE;1;GPH;VLF;Gold Rock;MAIN;46
0728AACE;2;GPH;IP;Gold Rock;MAIN;46
0728AACE;3;GPH;GMAG;Gold Rock;MAIN;48
0728AACE;4;GPH;GRV;Gold Rock;MAIN;48
0728AACE;5;GPH;SES;Gold Rock;MAIN;47
081D24CD;1;GPH;AMAG;Great Fingall;MAIN;90
081D24CD;2;GPH;GRV;Great Fingall;MAIN;90
07EA6630;1;GPH;IP;Hardrock deposit;MAIN;150
082DBCC0;1;GPH;GMAG;Main Gold Zone;MAIN;23
082DBCC0;2;GPH;EM;Main Gold Zone;MAIN;36|38
082DBCC0;3;GPH;AMAG;Main Gold Zone;MAIN;36
0839F995;1;GPH;AMAG;Antenna;MAIN;45
0839F995;2;GPH;EM;Antenna;MAIN;44
0842E5D2;1;GPH;AMAG;Magino;MAIN;22|25
0842E5D2;2;GPH;EM;Magino;MAIN;22
0842E5D2;3;GPH;GMAG;Magino;MAIN;23
0842E5D2;4;GPH;VLF;Magino;MAIN;23
0842E5D2;6;GPH;IP;Magino;MAIN;26
085F4CC2;1;GPH;EM;Jethro Structure;MAIN;12|17
085F4CC2;2;GPH;AMAG;Jethro Structure;MAIN;17
085F4CC2;3;GPH;RAD;Jethro Structure;MAIN;17
08D54B6A;1;GPH;AMAG;Brew Project;MAIN;13|16
088BAB7A;1;GPH;AMAG;Golden Horseshoe Reef;MAIN;35
088BAB7A;2;GPH;RAD;Golden Horseshoe Reef;MAIN;35
088BAB7A;3;GPH;EM;Golden Horseshoe Reef;MAIN;34|35
088BAB7A;4;GPH;GMAG;Golden Horseshoe Reef;MAIN;35
088BAB7A;5;GPH;IP;Golden Horseshoe Reef;MAIN;36
09033720;1;GPH;AMAG;Wona-Kona;MAIN;37
09033720;2;GPH;EM;Wona-Kona;MAIN;37
09033720;3;GPH;RAD;Wona-Kona;MAIN;37
08E407A0;1;GPH;AMAG;A8 3200 vein system;MAIN;40
08E407A0;2;GPH;VLF;A8 3200 vein system;MAIN;40
094023F6;1;GPH;GMAG;Pine Cove Mine;MAIN;91|99|105
094023F6;2;GPH;IP;Pine Cove Mine;MAIN;91|99|106
095529B3;1;GPH;EM;Tay-LP;MAIN;21|26
0965B1B3;1;GPH;AMAG;Batman;MAIN;77
0965B1B3;2;GPH;UNS;Batman;MAIN;79
0987FD5B;1;GPH;SES;Little Stull Lake;MAIN;55
0987FD5B;2;GPH;MT;Little Stull Lake;MAIN;55
0987FD5B;3;GPH;EM;Little Stull Lake;MAIN;62
0987FD5B;4;GPH;AMAG;Little Stull Lake;MAIN;62
09F70DBA;1;GPH;AMAG;West Branch;MAIN;67
09F70DBA;2;GPH;GMAG;West Branch;MAIN;67
09F70DBA;3;GPH;EM;West Branch;MAIN;67
09F70DBA;4;GPH;RAD;West Branch;MAIN;67
09F70DBA;5;GPH;IP;West Branch;MAIN;68
0A06CB49;1;GPH;GMAG;Thor Trend;MAIN;20
0A06CB49;2;GPH;VLF;Thor Trend;MAIN;20
0A06CB49;3;GPH;IP;Thor Trend;MAIN;20|55|59
0A06CB49;4;GPH;AMAG;Thor Trend;MAIN;48
0A4EC8A6;1;GPH;SES;Gilbert River Placer;MAIN;82
0A6DB12A;1;GPH;AMAG;Marathon;MAIN;81|87
0A6DB12A;2;GPH;GMAG;Marathon;MAIN;81|88
0A6DB12A;3;GPH;SES;Marathon;MAIN;81|89
0AA90EBC;1;GPH;IP;Anatacau Project;MAIN;22
0AA90EBC;2;GPH;AMAG;Anatacau Project;MAIN;22
0AA90EBC;3;GPH;EM;Anatacau Project;MAIN;25
0B7EB4D0;1;GPH;GRV;Buckreef Prospect;MAIN;30
0B7EB4D0;2;GPH;IP;Buckreef Prospect;MAIN;30|32
0B7EB4D0;3;GPH;AMAG;Buckreef Prospect;MAIN;30|31
0B7EB4D0;4;GPH;GMAG;Buckreef Prospect;MAIN;32
0B05B43E;1;GPH;AMAG;EMZ;MAIN;113
0B05B43E;2;GPH;RAD;EMZ;MAIN;113
0B05B43E;3;GPH;IP;EMZ;MAIN;113
0B05B43E;4;GPH;EM;EMZ;MAIN;113
0B016195;3;GPH;AMAG;Burnakura;MAIN;60
0B016195;4;GPH;RAD;Burnakura;MAIN;60
0B016195;5;GPH;EM;Burnakura;MAIN;60
0C01BBE0;1;GPH;IP;3 Aces;MAIN;31|37
0C01BBE0;2;GPH;AMAG;3 Aces;MAIN;31|37
0C01BBE0;3;GPH;RAD;3 Aces;MAIN;31|37
0C01BBE0;4;GPH;GMAG;3 Aces;MAIN;31|37
0C01BBE0;5;GPH;EM;3 Aces;MAIN;31|37
0C01BBE0;6;GPH;UNS;3 Aces;MAIN;31
0C314901;1;GPH;AMAG;Nelligan;MAIN;48
0BB1A012;1;GPH;UNS;O'Brien Project;MAIN;65
0C44E46A;1;GPH;RES;Main Structural Corridor (MSC);MAIN;30
0C44E46A;2;GPH;IP;Main Structural Corridor (MSC);MAIN;30
0C44E46A;3;GPH;MT;Main Structural Corridor (MSC);MAIN;30
0CA3FEC4;1;GPH;EM;Kofi C;MAIN;38
0CA3FEC4;2;GPH;AMAG;Kofi C;MAIN;38
0CA3FEC4;3;GPH;IP;Kofi C;MAIN;38|42
0CB5C5C9;1;GPH;EM;KCD;MAIN;72
0CB5C5C9;2;GPH;AMAG;KCD;MAIN;72
0CB5C5C9;3;GPH;RAD;KCD;MAIN;72
0CB5C5C9;5;GPH;MT;KCD;MAIN;72
0CEB7E63;1;GPH;IP;Esaase;MAIN;35
0CEB7E63;2;GPH;EM;Esaase;MAIN;35
0CC855EB;1;GPH;MT;Gold Pick;MAIN;58
0D138A33;1;GPH;IP;BT deposit;MAIN;28
0D1BA604;1;GPH;AMAG;Havelock Project;MAIN;53
0DBC95C9;1;GPH;AMAG;Batman deposit;MAIN;94
0D46872E;1;GPH;EM;Meadowbank deposits;MAIN;58
0D46872E;2;GPH;AMAG;Meadowbank deposits;MAIN;58
0D46872E;3;GPH;IP;Meadowbank deposits;MAIN;58
0D46872E;4;GPH;GMAG;Meadowbank deposits;MAIN;58
0E09DB1B;1;GPH;RES;Monique Gold Zones;MAIN;32
0E182762;1;GPH;IP;Gatsuurt;MAIN;92|96|97|98
0E182762;2;GPH;GMAG;Gatsuurt;MAIN;92|95
0E182762;3;GPH;AMAG;Gatsuurt;MAIN;92|94
0EC27446;1;GPH;AMAG;Masato;MAIN;36|49|56
0EC27446;2;GPH;RAD;Masato;MAIN;49
0EC27446;3;GPH;IP;Masato;MAIN;49|56
0EC27446;4;GPH;GMAG;Masato;MAIN;49
0E3A1F62;1;GPH;GMAG;Goose Site;MAIN;76|77
0E3A1F62;2;GPH;IP;Goose Site;MAIN;76|78
0E3A1F62;3;GPH;EM;Goose Site;MAIN;76
0F6F8EB9;1;GPH;UNS;Bigar Hill;MAIN;34
0F7248E2;1;GPH;EM;Lafigue;MAIN;80
0F7248E2;2;GPH;IP;Lafigue;MAIN;80
0F7248E2;3;GPH;RAD;Lafigue;MAIN;80
0F825C4A;1;GPH;AMAG;Youga;MAIN;106
0F825C4A;2;GPH;RAD;Youga;MAIN;106
0F825C4A;3;GPH;GMAG;Youga;MAIN;106|107
0F825C4A;4;GPH;IP;Youga;MAIN;108
0FD3508E;1;GPH;AMAG;Morro do Ouro;MAIN;44
0FD3508E;2;GPH;IP;Morro do Ouro;MAIN;44
0F8AE956;1;GPH;AMAG;Gold Quarry;MAIN;120
